Code UAI de l’établissement accrédité,Nom officiel (long) de l’établissement accrédité,Adresse de l’établissement accrédité,Code postal de la ville de l’établissement accrédité,Ville de l’établissement accrédité,Identifiant navette de la mention (INM) de master,Domaine(s) de la mention de master,Intitulé de la mention de master,Mention accréditée ou en cours d’accréditation,Modalités d’enseignement de la mention,Semestre auquel la mention est accessible dans l’établissement accrédité,Licences conseillées pour suivre la formation de la mention,etablissement_id_paysage
0062126D,COMUE Université Côte d'Azur,28 avenue VALROSE,6103,NICE,1800611Q,"DROIT, ECONOMIE, GESTION",Contrôle de gestion et audit organisationnel,diplôme,"Formation initiale,Alternance,Apprentissage",1er semestre,"Administration économique et sociale,Economie et gestion",RDy6Q
0062126D,COMUE Université Côte d'Azur,28 avenue VALROSE,6103,NICE,1800571W,"DROIT, ECONOMIE, GESTION",Droit privé,diplôme,"Formation initiale,Formation continue",1er semestre,Droit,RDy6Q
0134009M,Université d'Aix-Marseille,58  BOULEVARD CHARLES LIVON,13284,MARSEILLE,1800833F,SCIENCES ET TECHNOLOGIES,"Électronique, énergie électrique, automatique",diplôme,"Formation initiale,Formation continue",1er semestre,"Sciences pour l'ingénieur,Electronique, énergie électrique, automatique",xJdyB
0134009M,Université d'Aix-Marseille,58  BOULEVARD CHARLES LIVON,13284,MARSEILLE,1800818Q,SCIENCES ET TECHNOLOGIES,"Instrumentation, mesure, métrologie",diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,"Physique,Sciences pour l'ingénieur,Physique, chimie,Electronique, énergie électrique, automatique",xJdyB
0134009M,Université d'Aix-Marseille,58  BOULEVARD CHARLES LIVON,13284,MARSEILLE,1800828A,SCIENCES ET TECHNOLOGIES,Sciences de la mer,diplôme,"Formation initiale,Formation continue",1er semestre,"Chimie,Physique,Sciences de la Terre,Sciences de la vie,Sciences de la vie et de la Terre",xJdyB
0141408E,Université de Caen,ESPLANADE DE LA PAIX,14032,CAEN,1703388J,"SCIENCES, TECHNOLOGIES, SANTÉ","Innovation, entreprise et société",diplôme,Formation initiale,1er semestre,,p25Q3
0141408E,Université de Caen,ESPLANADE DE LA PAIX,14032,CAEN,1701181K,"DROIT, ECONOMIE, GESTION",Management de l'innovation,diplôme,Formation initiale,1er semestre,"Economie,Gestion,Administration économique et sociale,Economie et gestion",p25Q3
0141408E,Université de Caen,ESPLANADE DE LA PAIX,14032,CAEN,1703408F,"SCIENCES, TECHNOLOGIES, SANTÉ",Informatique,diplôme,Formation initiale,1er semestre,,p25Q3
0141408E,Université de Caen,ESPLANADE DE LA PAIX,14032,CAEN,1702261J,"DROIT, ECONOMIE, GESTION",Droit du numérique,diplôme,Formation initiale,1er semestre,,p25Q3
0211237F,Université de Dijon,Esplanade Erasme,21078,DIJON,1701337E,SCIENCES HUMAINES ET SOCIALES,Sciences sociales,diplôme,"Formation initiale,Formation continue",1er semestre,,Lr94O
0290346U,Université de Brest,3 RUE DES ARCHIVES,29238,BREST,1701310A,SCIENCES HUMAINES ET SOCIALES,Tourisme,diplôme,"Formation initiale,Formation continue",1er semestre,,06SE7
0301687W,Université de Nîmes,RUE DU DOCTEUR GEORGES SALAN,30021,NIMES,1302750H,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), encadrement éducatif",diplôme,Formation initiale,1er semestre,Toutes licences,HAU8L
0310152X,Institut national des sciences appliquées de Toulouse,135  AVENUE DE RANGUEIL,31077,TOULOUSE,1602047F,"SCIENCES, TECHNOLOGIES, SANTÉ",Aéronautique et espace,diplôme,Formation initiale,1er semestre,,dj88d
0311381H,Institut national polytechnique de Toulouse,6  ALLÉE EMILE MONSO,31029,TOULOUSE,1602106V,"SCIENCES, TECHNOLOGIES, SANTÉ",Chimie,diplôme,"Formation initiale,Formation continue",3ème semestre,,mMex4
0311381H,Institut national polytechnique de Toulouse,6  ALLÉE EMILE MONSO,31029,TOULOUSE,1602641B,"SCIENCES, TECHNOLOGIES, SANTÉ","Sciences de l'océan, de l'atmosphère et du climat",diplôme,"Formation initiale,Formation continue",3ème semestre,,mMex4
0311382J,Université Toulouse-I,2  RUE DU DOYEN GABRIEL MARTY,31042,TOULOUSE,1602627L,"SCIENCES, TECHNOLOGIES, SANTÉ",Éthique,diplôme,Formation initiale,1er semestre,,542Id
0311384L,Université Toulouse-III,118  ROUTE DE NARBONNE,31062,TOULOUSE,1602534K,SCIENCES HUMAINES ET SOCIALES,"Information, communication",diplôme,"Formation initiale,Formation continue,Alternance",3ème semestre,,m7K6T
0333298F,Université de Bordeaux,35  PLACE PEY BERLAND,33000,BORDEAUX,1603091R,"SCIENCES, TECHNOLOGIES, SANTÉ","Biochimie, biologie moléculaire",diplôme,"Formation initiale,Formation continue",1er semestre,,90I54
0333298F,Université de Bordeaux,35  PLACE PEY BERLAND,33000,BORDEAUX,1602875F,"SCIENCES, TECHNOLOGIES, SANTÉ","Biodiversité, écologie et évolution",diplôme,"Formation initiale,Formation continue",1er semestre,"Sciences de la Terre,Sciences de la vie et de la Terre",90I54
0333298F,Université de Bordeaux,35  PLACE PEY BERLAND,33000,BORDEAUX,1601877W,"SCIENCES, TECHNOLOGIES, SANTÉ | DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE",Méthodes informatiques appliquées à la gestion des entreprises - miage,diplôme,Formation initiale,1er semestre,,90I54
0333298F,Université de Bordeaux,35  PLACE PEY BERLAND,33000,BORDEAUX,1601858A,SCIENCES HUMAINES ET SOCIALES,Anthropologie,diplôme,"Formation initiale,Formation continue",1er semestre,"Chimie,Sciences pour l'ingénieur,Sciences de la vie",90I54
0333298F,Université de Bordeaux,35  PLACE PEY BERLAND,33000,BORDEAUX,1602193P,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 1er degré",diplôme,Formation initiale,1er semestre,,90I54
0341089Z,Université Montpellier-III,ROUTE DE MENDE,34199,MONTPELLIER,1502212P,SCIENCES HUMAINES ET SOCIALES,Humanités numériques,diplôme,"Formation continue,Formation à distance",1er semestre,,1I7hJ
0341089Z,Université Montpellier-III,ROUTE DE MENDE,34199,MONTPELLIER,1502581R,SCIENCES HUMAINES ET SOCIALES,Ethnologie,diplôme,"Formation initiale,Formation continue",1er semestre,,1I7hJ
0341089Z,Université Montpellier-III,ROUTE DE MENDE,34199,MONTPELLIER,1501339R,SCIENCES HUMAINES ET SOCIALES,Psychologie,diplôme,"Formation initiale,Formation continue",1er semestre,,1I7hJ
0342222F,Institut national d'études supérieures agronomiques de Montpellier (Montpellier Sup Agro),2  PLACE PIERRE VIALA,34060,MONTPELLIER,1501316R,"SCIENCES, TECHNOLOGIES, SANTÉ","Biodiversité, écologie et évolution",diplôme,"Formation initiale,Formation continue",3ème semestre,,uv3yv
0342321N,Université de Montpellier,163  RUE AUGUSTE BROUSSONET,34090,MONTPELLIER,1502621J,"SCIENCES, TECHNOLOGIES, SANTÉ",Santé,diplôme,"Formation initiale,Formation continue",1er semestre,"Administration publique,Sciences sanitaires et sociales,Psychologie,Sociologie,Sciences de l'Homme, anthropologie, ethnologie,Sciences pour la santé",7yd5d
0342321N,Université de Montpellier,163  RUE AUGUSTE BROUSSONET,34090,MONTPELLIER,1501793J,"SCIENCES, TECHNOLOGIES, SANTÉ","Innovation, entreprise et société",diplôme,"Formation initiale,Formation continue",1er semestre,"Lettres,Economie,Sciences de l'éducation,Sciences du langage,Langues étrangères appliquées,Langues, littératures et civilisations étrangères et régionales,Lettres, langues,Economie et gestion,Sciences et technologies",7yd5d
0342321N,Université de Montpellier,163  RUE AUGUSTE BROUSSONET,34090,MONTPELLIER,1501611L,"SCIENCES, TECHNOLOGIES, SANTÉ",Sciences du médicament,diplôme,"Formation initiale,Formation continue",1er semestre,"Chimie,Sciences de la vie,Sciences pour la santé",7yd5d
0342321N,Université de Montpellier,163  RUE AUGUSTE BROUSSONET,34090,MONTPELLIER,1501654H,"SCIENCES, TECHNOLOGIES, SANTÉ",Sciences et numérique pour la santé,diplôme,"Formation initiale,Formation continue",1er semestre,"Chimie,Informatique,Mathématiques,Physique,Sciences pour l'ingénieur,Electronique, énergie électrique, automatique,Sciences de la vie,Sciences pour la santé",7yd5d
0342321N,Université de Montpellier,163  RUE AUGUSTE BROUSSONET,34090,MONTPELLIER,1301191N,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), pratiques et ingénierie de la formation (PIF)",diplôme,Formation initiale,3ème semestre,,7yd5d
0350077U,Ecole nationale supérieure de chimie de Rennes,11  ALLÉE DE BEAULIEU,35708,RENNES,1702585L,"SCIENCES, TECHNOLOGIES, SANTÉ",Chimie,diplôme,Formation initiale,1er semestre,Chimie,kFcnq
0350936C,Université Rennes-I,2  RUE DU THABOR,35065,RENNES,1702151P,"SCIENCES, TECHNOLOGIES, SANTÉ","Sciences de la terre et des planètes, environnement",diplôme,Formation initiale,1er semestre,,9wAap
0350936C,Université Rennes-I,2  RUE DU THABOR,35065,RENNES,1701558V,"SCIENCES, TECHNOLOGIES, SANTÉ",Santé publique,diplôme,Formation initiale,1er semestre,,9wAap
0350936C,Université Rennes-I,2  RUE DU THABOR,35065,RENNES,1701210S,SCIENCES HUMAINES ET SOCIALES,Philosophie,diplôme,Formation initiale,1er semestre,,9wAap
0350936C,Université Rennes-I,2  RUE DU THABOR,35065,RENNES,1702506A,"DROIT, ECONOMIE, GESTION",Économie et management publics,diplôme,Formation initiale,1er semestre,,9wAap
0350936C,Université Rennes-I,2  RUE DU THABOR,35065,RENNES,1301237N,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), encadrement éducatif",diplôme,Formation initiale,1er semestre,Mathématiques,9wAap
0370800U,Université de Tours,60  RUE RUE DU PLAT D'ETAIN,37000,TOURS,1800423K,SCIENCES HUMAINES ET SOCIALES,Histoire,diplôme,"Formation initiale,Formation continue",1er semestre,,cqkij
0623957P,Université d'Artois,9  RUE DU TEMPLE,62030,ARRAS,1502463M,"ARTS, LETTRES, LANGUES","Muséologie, muséo-expographie",diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,,BWbvP
0632035V,Université Clermont Auvergne,49 BOULEVARD FRANCOIS MITTERRAND,63113,CLERMONT FERRAND,1301993K,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), encadrement éducatif",diplôme,Formation initiale,1er semestre,,FvH4k
0640251A,Université de Pau,AVENUE DE L UNIVERSITE,64012,PAU,1601194D,"SCIENCES, TECHNOLOGIES, SANTÉ",Sciences et génie des matériaux,diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,,Mz286
0660437S,Université de Perpignan,52  AVENUE PAUL ALDUY,66860,PERPIGNAN,1501236D,SCIENCES HUMAINES ET SOCIALES,"Histoire, civilisations, patrimoine",diplôme,Formation initiale,1er semestre,"Arts,Histoire de l'art et archéologie,Lettres,Histoire,Sciences du langage,Sociologie,Langues étrangères appliquées,Langues, littératures et civilisations étrangères et régionales,Lettres, langues,Géographie et aménagement,Humanités,Sciences sociales,Etudes culturelles,Etudes Européennes et Internationales",n1W55
0660437S,Université de Perpignan,52  AVENUE PAUL ALDUY,66860,PERPIGNAN,1502062B,"DROIT, ECONOMIE, GESTION",Management sectoriel,diplôme,Formation initiale,1er semestre,Economie et gestion,n1W55
0670189S,Ecole nationale du génie de l'eau et de l'environnement de Strasbourg,1 QUAI KOCH,67070,STRASBOURG,1800698J,"SCIENCES, TECHNOLOGIES, SANTÉ",Géomatique,diplôme,"Formation initiale,Formation continue",3ème semestre,,YPOQX
0673021V,Université de Strasbourg,4  RUE BLAISE PASCAL,67081,STRASBOURG,1800663W,"SCIENCES, TECHNOLOGIES, SANTÉ",Génie industriel,diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,,4k25D
0673021V,Université de Strasbourg,4  RUE BLAISE PASCAL,67081,STRASBOURG,1800707U,SCIENCES HUMAINES ET SOCIALES,Sociologie,diplôme,"Formation initiale,Formation continue",1er semestre,,4k25D
0673021V,Université de Strasbourg,4  RUE BLAISE PASCAL,67081,STRASBOURG,1800643Z,"DROIT, ECONOMIE, GESTION",Droit de l'environnement et de l'urbanisme,diplôme,"Formation initiale,Formation continue",1er semestre,,4k25D
0690187D,Ecole centrale de Lyon,36  AVENUE GUY DE COLLONGUE,69134,ECULLY,1602444M,"SCIENCES, TECHNOLOGIES, SANTÉ","Électronique, énergie électrique, automatique",diplôme,Formation initiale,3ème semestre,,fWJJA
0690187D,Ecole centrale de Lyon,36  AVENUE GUY DE COLLONGUE,69134,ECULLY,1603284A,"SCIENCES, TECHNOLOGIES, SANTÉ","Mathématiques appliquées, statistique",diplôme,Formation initiale,3ème semestre,,fWJJA
0941111X,Université Paris-XII,61  AVENUE DU GENERAL DE GAULLE,94010,CRETEIL,1501902C,"DROIT, ECONOMIE, GESTION","Gestion de production, logistique, achats",diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,,vb71K
0941111X,Université Paris-XII,61  AVENUE DU GENERAL DE GAULLE,94010,CRETEIL,1503417Z,"DROIT, ECONOMIE, GESTION",Droit fiscal,diplôme,Formation initiale,1er semestre,,vb71K
0941111X,Université Paris-XII,61  AVENUE DU GENERAL DE GAULLE,94010,CRETEIL,1900288P,SCIENCES HUMAINES ET SOCIALES,Staps : activité physique adaptée et santé,dossier,,,,vb71K
0951793H,Université de Cergy-Pontoise,33  BOULEVARD DU PORT,95011,CERGY PONTOISE,1502428Z,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), encadrement éducatif",diplôme,"Formation initiale,Formation continue",1er semestre,,W6CUQ
9740478B,Université de La Réunion,15  AVENUE RENE CASSIN,97744,ST DENIS,1503304B,"SCIENCES, TECHNOLOGIES, SANTÉ",Ville et environnements urbains,diplôme,Formation initiale,1er semestre,Génie civil,cEt92
0311382J,Université Toulouse-I,2  RUE DU DOYEN GABRIEL MARTY,31042,TOULOUSE,1601857Z,"DROIT, ECONOMIE, GESTION",Management,diplôme,"Formation initiale,Formation continue,Formation à distance,Alternance",1er semestre,,542Id
0333298F,Université de Bordeaux,35  PLACE PEY BERLAND,33000,BORDEAUX,1601707L,"SCIENCES, TECHNOLOGIES, SANTÉ",Ingénierie des systèmes complexes,diplôme,"Formation initiale,Formation continue",1er semestre,,90I54
0333298F,Université de Bordeaux,35  PLACE PEY BERLAND,33000,BORDEAUX,1602565U,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE",Droit des affaires,diplôme,"Formation initiale,Formation continue",1er semestre,,90I54
0342321N,Université de Montpellier,163  RUE AUGUSTE BROUSSONET,34090,MONTPELLIER,1501140Z,"DROIT, ECONOMIE, GESTION",Management et administration des entreprises,diplôme,"Formation initiale,Formation continue",1er semestre,"Administration publique,Droit,Economie,Gestion,Science politique,Sciences sanitaires et sociales,Psychologie,Sociologie,Chimie,Informatique,Mathématiques,Mécanique,Physique,Sciences pour l'ingénieur,Physique, chimie,Administration économique et sociale,Economie et gestion,Humanités,Electronique, énergie électrique, automatique,Génie civil,Mathématiques et informatique appliquées aux sciences humaines et sociales,Sciences de la Terre,Sciences de la vie,Sciences de la vie et de la Terre,Sciences et techniques des activités physiques et sportives,Sciences et technologies,Sciences pour la santé",7yd5d
0342321N,Université de Montpellier,163  RUE AUGUSTE BROUSSONET,34090,MONTPELLIER,1501316R,"SCIENCES, TECHNOLOGIES, SANTÉ","Biodiversité, écologie et évolution",diplôme,"Formation initiale,Formation continue",1er semestre,"Sciences pour l'ingénieur,Mathématiques et informatique appliquées aux sciences humaines et sociales,Sciences de la vie,Sciences de la vie et de la Terre",7yd5d
0350936C,Université Rennes-I,2  RUE DU THABOR,35065,RENNES,1701331Y,"SCIENCES, TECHNOLOGIES, SANTÉ",Mécanique,diplôme,Formation initiale,1er semestre,,9wAap
0350936C,Université Rennes-I,2  RUE DU THABOR,35065,RENNES,1703078X,"SCIENCES, TECHNOLOGIES, SANTÉ",Biologie-santé,diplôme,Formation initiale,1er semestre,,9wAap
0350936C,Université Rennes-I,2  RUE DU THABOR,35065,RENNES,1303187H,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 2nd degré",diplôme,Formation initiale,1er semestre,,9wAap
0350937D,Université Rennes-II,PLACE DU RECTEUR LE MOAL,35043,RENNES,1703186P,SCIENCES HUMAINES ET SOCIALES,Psychologie de l'éducation et de la formation,diplôme,"Formation initiale,Formation continue",1er semestre,,ti37C
0370800U,Université de Tours,60  RUE RUE DU PLAT D'ETAIN,37000,TOURS,1801078X,"DROIT, ECONOMIE, GESTION",Finance,diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,,cqkij
0370800U,Université de Tours,60  RUE RUE DU PLAT D'ETAIN,37000,TOURS,1801089J,"DROIT, ECONOMIE, GESTION",Gestion des ressources humaines,diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,,cqkij
0383493R,Université Grenoble Alpes,621  AVENUE CENTRALE,38040,GRENOBLE,1602389C,"SCIENCES, TECHNOLOGIES, SANTÉ",Physique,diplôme,"Formation initiale,Formation continue",1er semestre,,F2yh2
0383493R,Université Grenoble Alpes,621  AVENUE CENTRALE,38040,GRENOBLE,1601797J,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE",Droit européen,diplôme,"Formation initiale,Formation continue",1er semestre,,F2yh2
0420093Y,Ecole nationale d'ingénieurs de Saint-Etienne,58  RUE JEAN PAROT,42023,ST ETIENNE,1602844X,"SCIENCES, TECHNOLOGIES, SANTÉ",Mécanique,diplôme,Formation initiale,3ème semestre,,7s7yT
0440984F,Université de Nantes,2  QUAI DE TOURVILLE,44036,NANTES,1702518N,"SCIENCES, TECHNOLOGIES, SANTÉ","Électronique, énergie électrique, automatique",diplôme,"Formation initiale,Formation continue,Alternance,Hybride",1er semestre,,7hB8r
0440984F,Université de Nantes,2  QUAI DE TOURVILLE,44036,NANTES,1702466G,"ARTS, LETTRES, LANGUES",Philosophie,diplôme,"Formation initiale,Formation continue",1er semestre,,7hB8r
0440984F,Université de Nantes,2  QUAI DE TOURVILLE,44036,NANTES,1702555D,"SCIENCES, TECHNOLOGIES, SANTÉ",Informatique,diplôme,"Formation initiale,Formation continue,Alternance,Hybride",1er semestre,,7hB8r
0442674T,"Ecole nationale vétérinaire, agroalimentaire et de l'alimentation Nantes-Atlantique (ONIRIS)",RUE DE LA GÉRAUDIÈRE,44322,NANTES,1702945C,"SCIENCES, TECHNOLOGIES, SANTÉ",Nutrition et sciences des aliments,diplôme,Formation initiale,1er semestre,,b2TCC
0490970N,Université d'Angers,40  RUE DE RENNES,49035,ANGERS,1703466U,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), pratiques et ingénierie de la formation (PIF)",diplôme,Formation initiale,1er semestre,,IXHyv
0490970N,Université d'Angers,40  RUE DE RENNES,49035,ANGERS,1702703P,SCIENCES HUMAINES ET SOCIALES,"Géographie, aménagement, environnement et développement",diplôme,"Formation initiale,Formation continue",1er semestre,,IXHyv
0490970N,Université d'Angers,40  RUE DE RENNES,49035,ANGERS,1702001B,"DROIT, ECONOMIE, GESTION",Droit privé,diplôme,"Formation initiale,Formation continue",1er semestre,,IXHyv
0511296G,Université de Reims,9  BOULEVARD DE LA PAIX,51097,REIMS,1800313R,"SCIENCES, TECHNOLOGIES, SANTÉ","Calcul haute performance, simulation",diplôme,"Formation initiale,Formation continue",1er semestre,Informatique,57OsX
0511296G,Université de Reims,9  BOULEVARD DE LA PAIX,51097,REIMS,1801136K,Autre Domaine,Sciences de la vigne et du vin,diplôme,"Formation initiale,Formation continue",1er semestre,,57OsX
0511296G,Université de Reims,9  BOULEVARD DE LA PAIX,51097,REIMS,1801039E,"DROIT, ECONOMIE, GESTION",Management et commerce international,diplôme,"Formation initiale,Formation continue,Formation à distance",1er semestre,,57OsX
0542493S,Université de Lorraine,34  COURS LEOPOLD,54052,NANCY,1800175R,SCIENCES HUMAINES ET SOCIALES,Sciences sociales,diplôme,"Formation initiale,Formation continue",1er semestre,"Sociologie,Humanités,Sciences de l'Homme, anthropologie, ethnologie",t6Cq5
0542493S,Université de Lorraine,34  COURS LEOPOLD,54052,NANCY,1800929K,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE",Management sectoriel,diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,"Droit,Gestion,Langues étrangères appliquées,Administration économique et sociale,Génie civil",t6Cq5
0542493S,Université de Lorraine,34  COURS LEOPOLD,54052,NANCY,1301440J,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 2nd degré",diplôme,"Formation initiale,Formation continue",1er semestre,,t6Cq5
0542493S,Université de Lorraine,34  COURS LEOPOLD,54052,NANCY,1800150P,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE",Droit fiscal,diplôme,"Formation initiale,Formation continue",1er semestre,,t6Cq5
0561718N,Université de Bretagne Sud,27  RUE ARMAND GUILLEMOT,56321,LORIENT,1702171L,"DROIT, ECONOMIE, GESTION","Marketing, vente",diplôme,Alternance,1er semestre,"Economie,Gestion,Administration économique et sociale,Economie et gestion",5tVy4
0561718N,Université de Bretagne Sud,27  RUE ARMAND GUILLEMOT,56321,LORIENT,1701146X,SCIENCES HUMAINES ET SOCIALES,Sciences du langage,diplôme,Formation à distance,1er semestre,,5tVy4
0590349J,Ecole centrale de Lille,CÎTE SCIENTIFIQUE,59651,VILLENEUVE D ASCQ,1503306D,"SCIENCES, TECHNOLOGIES, SANTÉ","Automatique, robotique",diplôme,Formation initiale,1er semestre,,54VTe
0593279U,Université Polytechnique Hauts-de-France,Campus Mont Houy,59300,AULNOY LEZ VALENCIENNES,1501955K,"DROIT, ECONOMIE, GESTION",Comptabilité - contrôle - audit,diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,,SuUZ2
0593279U,Université Polytechnique Hauts-de-France,Campus Mont Houy,59300,AULNOY LEZ VALENCIENNES,1502394M,"DROIT, ECONOMIE, GESTION",Droit de l'immobilier,diplôme,"Formation initiale,Formation continue",1er semestre,,SuUZ2
0593279U,Université Polytechnique Hauts-de-France,Campus Mont Houy,59300,AULNOY LEZ VALENCIENNES,1502107A,"SCIENCES HUMAINES ET SOCIALES | ARTS, LETTRES, LANGUES",Études culturelles,diplôme,"Formation initiale,Formation continue",1er semestre,,SuUZ2
0593279U,Université Polytechnique Hauts-de-France,Campus Mont Houy,59300,AULNOY LEZ VALENCIENNES,1503085N,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), encadrement éducatif",diplôme,Formation initiale,1er semestre,,SuUZ2
0595964M,Université du littoral côte d'opale,1 PLACE DE L'YSER,59375,DUNKERQUE,1502148V,"SCIENCES, TECHNOLOGIES, SANTÉ",Physique,diplôme,"Formation initiale,Formation continue",1er semestre,,yH19Y
0595964M,Université du littoral côte d'opale,1 PLACE DE L'YSER,59375,DUNKERQUE,1502794X,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 2nd degré",diplôme,Formation initiale,1er semestre,,yH19Y
0596870X,"COMUE ""Lille Nord de France""",365 BIS RUE JULES GUESDE,59658,VILLENEUVE D ASCQ,1503085N,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), encadrement éducatif",diplôme,Formation initiale,1er semestre,Toutes licences,IZ3tY
0597065J,Université de Lille,42  RUE PAUL DUEZ,59800,LILLE,1503213C,"DROIT, ECONOMIE, GESTION","Monnaie, banque, finance, assurance",diplôme,"Formation initiale,Formation continue",1er semestre,,Szqy5
0597065J,Université de Lille,42  RUE PAUL DUEZ,59800,LILLE,1502354U,"DROIT, ECONOMIE, GESTION",Economie de l'entreprise et des marchés,diplôme,"Formation initiale,Formation continue",1er semestre,,Szqy5
0601223D,Université de technologie de Compiègne,Rue du docteur Schweitzer,60203,COMPIEGNE,1900319X,"SCIENCES HUMAINES ET SOCIALES | DROIT, ECONOMIE, GESTION",Analyse et politique économique,diplôme,"Formation initiale,Formation continue",1er semestre,,H3nOd
0623957P,Université d'Artois,9  RUE DU TEMPLE,62030,ARRAS,1501432S,SCIENCES HUMAINES ET SOCIALES,Géographie,diplôme,"Formation initiale,Formation continue",1er semestre,,BWbvP
0623957P,Université d'Artois,9  RUE DU TEMPLE,62030,ARRAS,1502828J,"SCIENCES, TECHNOLOGIES, SANTÉ",Chimie,diplôme,"Formation initiale,Formation continue",1er semestre,,BWbvP
0623957P,Université d'Artois,9  RUE DU TEMPLE,62030,ARRAS,1501805X,"DROIT, ECONOMIE, GESTION","Justice, procès et procédures",diplôme,"Formation initiale,Formation continue",1er semestre,,BWbvP
0632035V,Université Clermont Auvergne,49 BOULEVARD FRANCOIS MITTERRAND,63113,CLERMONT FERRAND,1802168G,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), pratiques et ingénierie de la formation (PIF)",diplôme,Formation initiale,1er semestre,,FvH4k
0632035V,Université Clermont Auvergne,49 BOULEVARD FRANCOIS MITTERRAND,63113,CLERMONT FERRAND,1703370P,"SCIENCES, TECHNOLOGIES, SANTÉ | SCIENCES HUMAINES ET SOCIALES",Staps : activité physique adaptée et santé,diplôme,Formation initiale,1er semestre,,FvH4k
0632035V,Université Clermont Auvergne,49 BOULEVARD FRANCOIS MITTERRAND,63113,CLERMONT FERRAND,1702052G,SCIENCES HUMAINES ET SOCIALES,Sciences de l'éducation,diplôme,Formation initiale,1er semestre,,FvH4k
0632035V,Université Clermont Auvergne,49 BOULEVARD FRANCOIS MITTERRAND,63113,CLERMONT FERRAND,1702673G,"DROIT, ECONOMIE, GESTION",Management stratégique,diplôme,Formation initiale,1er semestre,,FvH4k
0640251A,Université de Pau,AVENUE DE L UNIVERSITE,64012,PAU,1601791C,"DROIT, ECONOMIE, GESTION",Entrepreneuriat et management de projets,diplôme,"Formation continue,Alternance",3ème semestre,,Mz286
0691775E,Université Lyon-II,18  QUAI CLAUDE BERNARD,69365,LYON,1601111N,SCIENCES HUMAINES ET SOCIALES,Psychologie,diplôme,Formation initiale,1er semestre,,CUBKB
0691775E,Université Lyon-II,18  QUAI CLAUDE BERNARD,69365,LYON,1601700D,"ARTS, LETTRES, LANGUES",Cinéma et audiovisuel,diplôme,"Formation initiale,Formation continue",1er semestre,,CUBKB
0691775E,Université Lyon-II,18  QUAI CLAUDE BERNARD,69365,LYON,1602401R,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), encadrement éducatif",diplôme,Formation initiale,1er semestre,,CUBKB
0692437Z,Université Lyon-III,1  RUE DE L'UNIVERSITE,69239,LYON,1601218E,"DROIT, ECONOMIE, GESTION",Droit pénal et sciences criminelles,diplôme,"Formation initiale,Formation continue",1er semestre,,7Gzub
0692566P,Ecole nationale des travaux publics de l'Etat,3 RUE MAURICE AUDIN,69518,VAULX EN VELIN,1602422N,SCIENCES HUMAINES ET SOCIALES,"Histoire, civilisations, patrimoine",diplôme,Formation initiale,,,56aH3
0694123G,Ecole normale supérieure de Lyon,15  PARVIS RENE DESCARTES,69342,LYON,1601867K,SCIENCES HUMAINES ET SOCIALES,Sciences sociales,diplôme,Formation initiale,1er semestre,,kWved
0694123G,Ecole normale supérieure de Lyon,15  PARVIS RENE DESCARTES,69342,LYON,1601916N,"SCIENCES, TECHNOLOGIES, SANTÉ",Informatique,diplôme,Formation initiale,1er semestre,,kWved
0720916E,Université du Mans,AVENUE OLIVIER MESSIAEN,72085,LE MANS,1701292F,SCIENCES HUMAINES ET SOCIALES,Ville et environnements urbains,diplôme,"Formation initiale,Formation continue,Alternance",1er semestre,,9xlel
