Code UAI de l’établissement accrédité,Nom officiel (long) de l’établissement accrédité,Adresse de l’établissement accrédité,Code postal de la ville de l’établissement accrédité,Ville de l’établissement accrédité,Identifiant navette de la mention (INM) de master,Domaine(s) de la mention de master,Intitulé de la mention de master,Mention accréditée ou en cours d’accréditation,Modalités d’enseignement de la mention,Semestre auquel la mention est accessible dans l’établissement accrédité,Licences conseillées pour suivre la formation de la mention,etablissement_id_paysage
0251215K,Université de Besançon,1  RUE GOUDIMEL,25030,BESANCON CEDEX,1701293G,"SCIENCES, TECHNOLOGIES, SANTÉ",Santé,diplôme,"Formation initiale,Formation continue",1er semestre,,7Mpgt
0290125D,Ecole Nationale Supérieure de Techniques Avancées Bretagne,2 RUE FRANCOIS VERNY,29806,BREST CEDEX 9,1702272W,SCIENCES DE LA MER ET DU LITTORAL,Sciences marines / Marine sciences,diplôme,Formation initiale,1er semestre,,GCGkl
0341089Z,Université Montpellier-III,ROUTE DE MENDE,34199,MONTPELLIER CEDEX 5,1502888Z,SCIENCES HUMAINES ET SOCIALES,Histoire,diplôme,"Formation initiale,Formation continue",1er semestre,,1I7hJ
0290346U,Université de Brest,3 RUE DES ARCHIVES,29238,BREST CEDEX 2,1702272W,SCIENCES DE LA MER ET DU LITTORAL,Sciences marines / Marine sciences,diplôme,"Formation initiale,Formation continue",1er semestre,,06SE7
0290346U,Université de Brest,3 RUE DES ARCHIVES,29238,BREST CEDEX 2,1703352V,"DROIT, ECONOMIE, GESTION",Management et administration des entreprises,diplôme,"Formation initiale,Formation continue",1er semestre,,06SE7
0383493R,Université Grenoble Alpes,621  AVENUE CENTRALE,38040,GRENOBLE CEDEX 9,1601750H,"SCIENCES HUMAINES ET SOCIALES | DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE",Mathématiques et informatique appliquées aux sciences humaines et sociales - miashs,diplôme,"Formation initiale,Formation continue",1er semestre,,Y7ch7
0311382J,Université Toulouse-I,2  RUE DU DOYEN GABRIEL MARTY,31042,TOULOUSE CEDEX 9,2000260H,"DROIT, ECONOMIE, GESTION",Administration économique et sociale,diplôme,"Formation initiale,Formation continue,Alternance",1er semestre,,542Id
0311383K,Université Toulouse-II,5  ALLÉES ANTONIO MACHADO,31058,TOULOUSE CEDEX 9,1603155K,"ARTS, LETTRES, LANGUES",Création artistique,diplôme,"Formation initiale,Formation continue",1er semestre,,HqAYu
0311384L,Université Toulouse-III,118  ROUTE DE NARBONNE,31062,TOULOUSE CEDEX 9,1603049V,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 1er degré",diplôme,Formation initiale,1er semestre,"Sciences de la vie,Sciences et techniques des activités physiques et sportives",m7K6T
0331766R,Université Bordeaux-III,DOMAINE UNIVERSITAIRE,33607,PESSAC CEDEX,1603325V,"ARTS, LETTRES, LANGUES",Sciences du langage,diplôme,Formation initiale,1er semestre,,Mz90U
0340112M,Ecole nationale supérieure de chimie de Montpellier,8  RUE DE L'ECOLE NORMALE,34296,MONTPELLIER CEDEX 5,1501078G,"SCIENCES, TECHNOLOGIES, SANTÉ",Biologie-santé,diplôme,"Formation initiale,Apprentissage",,,GJYxj
0772894C,Université Gustave Eiffel,5  BOULEVARD DESCARTES,77454,MARNE LA VALLEE CEDEX 2,1502504G,SCIENCES HUMAINES ET SOCIALES,Sciences sociales,diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,,3Z5e6
0801344B,Université d'Amiens,CHEMIN DU THIL,80021,AMIENS CEDEX 1,1801021K,"DROIT, ECONOMIE, GESTION","Marketing, vente",diplôme,"Formation initiale,Formation continue,Alternance",1er semestre,,8j5s2
0811293R,Institut national universitaire Jean-François Champollion,PLACE DE VERDUN,81012,ALBI CEDEX 9,1603434N,"DROIT, ECONOMIE, GESTION",Droit du patrimoine,diplôme,,1er semestre,,Hm42K
0840685N,Université d'Avignon,74  RUE LOUIS PASTEUR,84029,AVIGNON CEDEX 1,1801056Y,SCIENCES HUMAINES ET SOCIALES,Histoire,diplôme,Formation initiale,1er semestre,,vxHYt
0870669E,Université de Limoges,33  RUE FRANCOIS MITTERAND,87032,LIMOGES CEDEX 1,1303118H,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 2nd degré",diplôme,,1er semestre,,nkbwh
0870669E,Université de Limoges,33  RUE FRANCOIS MITTERAND,87032,LIMOGES CEDEX 1,1402510T,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), pratiques et ingénierie de la formation (PIF)",diplôme,,3ème semestre,,nkbwh
0870669E,Université de Limoges,33  RUE FRANCOIS MITTERAND,87032,LIMOGES CEDEX 1,1602574D,"DROIT, ECONOMIE, GESTION",Droit européen,diplôme,,1er semestre,,nkbwh
0870669E,Université de Limoges,33  RUE FRANCOIS MITTERAND,87032,LIMOGES CEDEX 1,1603161S,"DROIT, ECONOMIE, GESTION",Administration publique,diplôme,,1er semestre,,nkbwh
0912408Y,Université Paris-Saclay,Route de l'Orme aux Merisiers RD,91190,ST AUBIN,1502174Y,SCIENCES ET TECHNOLOGIES,Mécanique,diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,,G2qA7
0921204J,Université Paris-X,200 avenue de la République,92001,NANTERRE CEDEX,1401245T,"DROIT, ECONOMIE, GESTION",Comptabilité - contrôle - audit,diplôme,"Formation initiale,Formation continue",1er semestre,"Gestion,Economie et gestion",g6rwB
0921204J,Université Paris-X,200 avenue de la République,92001,NANTERRE CEDEX,1402042J,SCIENCES HUMAINES ET SOCIALES,Urbanisme et amenagement,diplôme,"Formation initiale,Formation continue",1er semestre,,g6rwB
0921204J,Université Paris-X,200 avenue de la République,92001,NANTERRE CEDEX,1402490W,"DROIT, ECONOMIE, GESTION",Droit notarial,diplôme,"Formation initiale,Formation continue",1er semestre,Droit,g6rwB
0921204J,Université Paris-X,200 avenue de la République,92001,NANTERRE CEDEX,1402546G,SCIENCES HUMAINES ET SOCIALES,"Information, communication",diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,,g6rwB
0921204J,Université Paris-X,200 avenue de la République,92001,NANTERRE CEDEX,1403200T,"DROIT, ECONOMIE, GESTION",Contrôle de gestion et audit organisationnel,diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,,g6rwB
0781944P,Université de Versailles Saint-Quentin-en-Yvelines,55 avenue de Paris,78035,VERSAILLES CEDEX,1501251V,"DROIT, ECONOMIE, GESTION",Management et administration des entreprises,diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,,V13Pk
0801344B,Université d'Amiens,CHEMIN DU THIL,80021,AMIENS CEDEX 1,1801025Q,SCIENCES HUMAINES ET SOCIALES,"Histoire, civilisations, patrimoine",diplôme,"Formation initiale,Formation continue",1er semestre,"Histoire de l'art et archéologie,Lettres,Histoire,Psychologie,Sociologie,Langues, littératures et civilisations étrangères et régionales,Géographie et aménagement,Humanités",8j5s2
0811293R,Institut national universitaire Jean-François Champollion,PLACE DE VERDUN,81012,ALBI CEDEX 9,1602229D,"DROIT, ECONOMIE, GESTION",Droit public,diplôme,"Formation initiale,Formation continue",1er semestre,,Hm42K
0830766G,Université de Toulon,Avenue de l'Université,83041,TOULON CEDEX 9,1800277B,"SCIENCES, TECHNOLOGIES, SANTÉ",Sciences de la mer,diplôme,Formation initiale,1er semestre,"Chimie,Physique, chimie,Sciences de la Terre,Sciences de la vie,Sciences de la vie et de la Terre,Environnements océaniens",C701f
0830766G,Université de Toulon,Avenue de l'Université,83041,TOULON CEDEX 9,1800827Z,Autre Domaine,Staps : activité physique adaptée et santé,diplôme,Formation initiale,1er semestre,Sciences et techniques des activités physiques et sportives,C701f
