"Statut de l’etablissement de la filiere de formation (public, prive…)",Code UAI de l etablissement,etablissement,Region de l’etablissement,Filiere de formation
Public,0541286E,Lycee Louis Bertrand,Grand Est,BTS   Services   Negociation et digitalisation de la Relation Client
Public,0541324W,I.U.T Nancy Charlemagne   Universite de Lorraine,Grand Est,BUT   Techniques de commercialisation
Public,0542485H,Universite de Lorraine   Faculte des Sciences et Technologies   site de Nancy (54),Grand Est,CUPGE   Classe Preparatoire Universitaire Mathematiques   Physique   Informatique
Public,0542482E,Universite de Lorraine   IAE Nancy School of Management   Site de Nancy (54),Grand Est,Licence   Administration economique et sociale
Public,0541668V,"Universite de Lorraine   Faculte de Droit, Sciences Economiques et Gestion   Site de Nancy (54)",Grand Est,Licence   Droit   Parcours Droit langue anglaise : droit des pays de common law
Public,0541660L,"Universite de Lorraine   Institut des sciences du Digital, Management et Cognition   Site de Nancy (54)",Grand Est,Licence   Portail Mathematiques et informatique appliquees aux sciences humaines et sociales
Public,0541665S,"Universite de Lorraine   UFR Arts, Lettres et Langues   Site de Nancy (54)",Grand Est,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Arabe"
Public,0541665S,"Universite de Lorraine   UFR Arts, Lettres et Langues   Site de Nancy (54)",Grand Est,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Anglais   Entierement en distanciel"
Public,0541665S,"Universite de Lorraine   UFR Arts, Lettres et Langues   Site de Nancy (54)",Grand Est,Licence   Lettres   Parcours Lettres modernes
Public,0542499Y,Universite de Lorraine   UFR Sciences Humaines et Sociales   Site de Nancy (54),Grand Est,Licence   Sociologie
Public,0542208G,Lycee Stanislas (Biotec.Hotellerie),Grand Est,BTS   Services   Management en hotellerie restauration
Public,0542262R,Lycee Emmanuel Here,Grand Est,BTS   Production   Bâtiment
Public,0542262R,Lycee Emmanuel Here,Grand Est,"BTS   Production   Fluide, energie, domotique   option C domotique et bâtiment communicants"
Public,0542293Z,Lycee Jacques Marie Boutet De Monvel,Grand Est,BTS   Production   Electrotechnique
Public,0550025D,Lycee Jean Auguste Margueritte,Grand Est,BTS   Services   Services et prestations des secteurs sanitaire et social
Prive sous contrat d association,0550049E,Lycee Sainte Anne,Grand Est,BTS   Services   Economie sociale familiale
Public,0560016N,Lycee Broceliande,Bretagne,BTS   Services   Gestion de la PME
Public,0560025Y,Lycee Dupuy De Lome,Bretagne,BTS   Services   Assurance
Public,0560026Z,Lycee Jean Baptiste Colbert,Bretagne,BTS   Production   Conception de produits industriels
Public,0560051B,Lycee Alain Rene Lesage,Bretagne,CPGE   MPSI
Prive sous contrat d association,0560181T,Lycee St Joseph   LaSalle Lorient,Bretagne,"BTS   Production   Fluide, energie, domotique   option A genie climatique et fluidique"
Prive sous contrat d association,0560182U,Lycee Jeanne d Arc St Ivy,Bretagne,BTS   Services   Negociation et digitalisation de la Relation Client
Prive sous contrat d association,0560198L,Lycee St Joseph,Bretagne,BTS   Production   Electrotechnique
