"Statut de l’etablissement de la filiere de formation (public, prive…)",Code UAI de l etablissement,etablissement,Region de l’etablissement,Filiere de formation,Coordonnées GPS de la formation
Prive sous contrat d association,0570311D,Lycee De La Salle,Grand Est,BTS   Services   Comptabilite et gestion,"49.1047, 6.19359"
Public,0660809W,Lycee Aristide Maillol,Occitanie,BTS   Services   Professions immobilieres,"42.7176, 2.88618"
Prive sous contrat d association,0570311D,Lycee De La Salle,Grand Est,Diplome de Comptabilite et de Gestion,"49.1047, 6.19359"
Public,0150006A,Lycee Jean Monnet   Mermoz,Auvergne Rhone Alpes,BTS   Services   Services informatiques aux organisations,"44.9358, 2.45282"
Public,0572027U,Lycee Rosa Parks,Grand Est,BTS   Services   Support à l action manageriale,"49.36505, 6.14848"
Public,0573561L,"Universite de Lorraine   UFR Arts, Lettres et Langues   Site de Metz (57)",Grand Est,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Etudes franco allemandes","49.1209, 6.1623"
Public,0573561L,"Universite de Lorraine   UFR Arts, Lettres et Langues   Site de Metz (57)",Grand Est,Licence   Langues etrangeres appliquees   Parcours Anglais   Espagnol,"49.1207, 6.16183"
Public,0573561L,"Universite de Lorraine   UFR Arts, Lettres et Langues   Site de Metz (57)",Grand Est,Licence   Langues etrangeres appliquees   Parcours Anglais   Chinois,"49.1207, 6.16161"
Public,0573561L,"Universite de Lorraine   UFR Arts, Lettres et Langues   Site de Metz (57)",Grand Est,Licence   Lettres   Parcours Lettres modernes,"49.1208, 6.16217"
Public,0573299B,Universite de Lorraine   UFR Sciences Fondamentales et Appliquees   Site de Metz (57),Grand Est,Licence   Portail Sciences et Techniques des Activites Physiques et Sportives  ,"49.11606, 6.2139"
Public,0572757M,Lycee Georges De La Tour,Grand Est,BTS   Services   Economie sociale familiale,"49.109, 6.16706"
Public,0573281G,Lycee De La Communication,Grand Est,BTS   Services   Metiers de l audio visuel opt : metiers de l image,"49.1006, 6.22311"
Public,0573320Z,Lycee des Metiers   Hotelier Raymond Mondon,Grand Est,Mise à niveau   Hotellerie restauration,"49.1055, 6.20963"
Public,0573435Z,I.U.T. Thionville Yutz   Universite de Lorraine,Grand Est,BUT   Genie biologique parcours sciences de l environnement et ecotechnologies,"49.3501, 6.17432"
Public,0573435Z,I.U.T. Thionville Yutz   Universite de Lorraine,Grand Est,BUT   Techniques de commercialisation,"49.3501, 6.17432"
Prive sous contrat d association,0573519R,Lycee Saint Andre,Grand Est,BTS   Services   Opticien Lunetier,"49.4404, 6.01775"
Public,0580031U,Lycee Jules Renard,Bourgogne Franche Comte,BTS   Production   Electrotechnique,"47.0036, 3.16112"
Public,0580582T,Lycee d Enseignement General et Technologique Agricole du Morvan,Bourgogne Franche Comte,BTS   Agricole   Aquaculture,"47.0597, 3.94147"
Public,0580758J,Universite de Bourgogne Europe (ex UB)   site de Nevers,Bourgogne Franche Comte,Licence   Droit,"46.9971, 3.17296"
Public,0580761M,Lycee Maurice Genevoix,Bourgogne Franche Comte,BTS   Services   Gestion de la PME,"46.8282, 3.44514"
Public,0590011S,Lycee Gustave Eiffel,Hauts de France,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option A : Informatique et reseaux","50.68919, 2.87196"
Public,0590011S,Lycee Gustave Eiffel,Hauts de France,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option B : Electronique et reseaux","50.68919, 2.87196"
Public,0590042A,Lycee Camille Desmoulins,Hauts de France,BTS   Services   Gestion de la PME,"50.103, 3.54121"
Public,0590060V,Lycee Alfred Kastler,Hauts de France,BTS   Services   Conseil et commercialisation de solutions techniques,"50.3295, 3.40754"
Public,0590064Z,Lycee Jean Baptiste Corot,Hauts de France,BTS   Services   Support à l action manageriale,"50.3746, 3.07835"
Public,0590065A,Lycee Elisa LEMONNIER,Hauts de France,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option A : Informatique et reseaux","50.3764, 3.06851"
Public,0590101P,Lycee des Flandres,Hauts de France,BTS   Services   Comptabilite et gestion,"50.7284, 2.53187"
Public,0590117G,Lycee Louis Pasteur,Hauts de France,BTS   Services   Negociation et digitalisation de la Relation Client,"50.6421, 3.07059"
Public,0590121L,Lycee Cesar Baggio,Hauts de France,CPGE   PTSI,"50.6177, 3.06739"
Public,0590121L,Lycee Cesar Baggio,Hauts de France,BTS   Production   Conception et Realisation de Systemes Automatiques,"50.6177, 3.06739"
Public,0590122M,Lycee Valentine Labbe,Hauts de France,BTS   Services   Biologie medicale,"50.6473, 3.07231"
Public,0590184E,Lycee Jean Rostand,Hauts de France,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option A : Informatique et reseaux","50.6964, 3.19588"
Public,0590184E,Lycee Jean Rostand,Hauts de France,BTS   Services   Photographie,"50.6964, 3.19588"
Public,0590184E,Lycee Jean Rostand,Hauts de France,BTS   Services   Metiers de l audio visuel opt : gestion de la production,"50.6964, 3.19588"
Public,0590185F,Lycee Jean Moulin,Hauts de France,BTS   Services   Support à l action manageriale,"50.6851, 3.17247"
Public,0590185F,Lycee Jean Moulin,Hauts de France,BTS   Services   Management Commercial Operationnel,"50.6851, 3.17247"
Public,0590185F,Lycee Jean Moulin,Hauts de France,BTS   Services   Assurance,"50.6851, 3.17247"
Public,0590207E,Lycee Louis Pasteur,Hauts de France,BTS   Services   Gestion de la PME,"50.3495, 3.28268"
Public,0590214M,Lycee Colbert,Hauts de France,CPGE   TSI,"50.7254, 3.15711"
Public,0590214M,Lycee Colbert,Hauts de France,BTS   Production   Electrotechnique,"50.7254, 3.15711"
Public,0590221V,Lycee Henri Wallon,Hauts de France,CPGE   MPSI,"50.3641, 3.52067"
Public,0590221V,Lycee Henri Wallon,Hauts de France,BTS   Services   Services informatiques aux organisations,"50.3641, 3.52067"
Public,0590222W,Lycee Antoine Watteau,Hauts de France,CPGE   Lettres,"50.3583, 3.53179"
Public,0590223X,Lycee Du Hainaut,Hauts de France,BTS   Production   Electrotechnique,"50.3583, 3.51076"
Public,0590233H,Lycee Emile Zola,Hauts de France,BTS   Services   Negociation et digitalisation de la Relation Client,"50.7073, 3.23237"
Public,0590258K,Lycee Gaston Berger,Hauts de France,BTS   Services   Support à l action manageriale,"50.6134, 3.0784"
Public,0597239Y,Universite de Lille,Hauts de France,Licence   Portail Sciences et Techniques des Activites Physiques et Sportives,"50.6118, 3.0836"
Public,0597215X,Institut universitaire de technologie de Lille   Universite de Lille,Hauts de France,BUT   Genie biologique parcours sciences de l aliment et biotechnologie,"50.6136, 3.13651"
Public,0597215X,Institut universitaire de technologie de Lille   Universite de Lille,Hauts de France,BUT   Gestion des entreprises et des administrations,"50.61015, 3.14366"
Prive sous contrat d association,0592921E,Lycee Saint Remi,Hauts de France,BTS   Services   Conseil et commercialisation de solutions techniques,"50.6943, 3.18214"
Prive sous contrat d association,0592928M,Lycee Jeanne D Arc,Hauts de France,BTS   Services   Tourisme,"50.1999, 3.8304"
Prive sous contrat d association,0592969G,Lycee Dampierre,Hauts de France,BTS   Production   Conception et Realisation de Systemes Automatiques,"50.3542, 3.4991"
Prive sous contrat d association,0593007Y,Lycee Frederic OZANAM,Hauts de France,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option A : Informatique et reseaux","50.6396, 3.08675"
Public,0593052X,I.U.T. de Valenciennes,Hauts de France,BUT   Genie mecanique et productique,"50.3275, 3.51437"
Prive sous contrat d association,0593058D,Lycee Vauban,Hauts de France,BTS   Services   Gestion de la PME,"51.0272, 2.37227"
Prive sous contrat d association,0593061G,Lycee Saint Luc Cambrai,Hauts de France,BTS   Services   Opticien Lunetier,"50.1701, 3.229"
Prive sous contrat d association,0593071T,Lycee Deforest De Lewarde,Hauts de France,BTS   Production   Maintenance des systemes   option A Systemes de production,"50.3715, 3.08187"
Prive sous contrat d association,0593077Z,Lycee Saint Joseph,Hauts de France,BTS   Production   Electrotechnique,"50.7181, 2.53308"
Prive sous contrat d association,0593078A,Lycee Depoorter,Hauts de France,BTS   Services   Economie sociale familiale,"50.7205, 2.53334"
Prive sous contrat d association,0593109J,Lycee Notre Dame De La Paix,Hauts de France,CPGE   B/L   Lettres et sciences sociales,"50.6427, 3.06165"
Prive sous contrat d association,0593117T,Lycee polyvalent prive La Salle,Hauts de France,CPGE   MPSI,"50.6284, 3.0472"
Prive sous contrat d association,0593136N,Lycee Saint Jacques,Hauts de France,BTS   Services   Gestion de la PME,"50.7232, 2.53016"
Public,0593255T,"Lycee de la Nature et des Biotechnologies, Douai Bio Tech ",Hauts de France,BTS   Agricole   Gestion et maitrise de l eau,"50.3901, 3.06595"
Prive sous contrat d association,0593257V,Institut agricole de Genech,Hauts de France,"BTS   Agricole   Analyse, conduite et strategie de l entreprise agricole, option Territoires metropolitains","50.5281, 3.20601"
Prive sous contrat d association,0593257V,Institut agricole de Genech,Hauts de France,BTS   Agricole   Agronomie et cultures durables,"50.5281, 3.20601"
Public,0597132G,Universite Polytechnique Hauts de France,Hauts de France,Licence   Sciences et technologies   Parcours Audiovisuel et Medias Numeriques,"50.3267, 3.51626"
Public,0597132G,Universite Polytechnique Hauts de France,Hauts de France,Licence   Sciences pour l ingenieur   Parcours Ingenierie Mecanique,"50.3232, 3.51419"
Public,0597132G,Universite Polytechnique Hauts de France,Hauts de France,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours  Espagnol : Langue, Litterature et Civilisation etrangere","50.3627, 3.52793"
Public,0597132G,Universite Polytechnique Hauts de France,Hauts de France,Licence   Langues etrangeres appliquees   Parcours Anglais   Allemand,"50.3627, 3.52793"
Public,0597239Y,Universite de Lille,Hauts de France,DEUST   Sante environnement : Techniques de laboratoire,"50.605, 3.03957"
Public,0597239Y,Universite de Lille,Hauts de France,DEUST   Metiers des bibliotheques et de la documentation,"50.6273, 3.12399"
Public,0597239Y,Universite de Lille,Hauts de France,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours  Espagnol","50.62893, 3.12637"
Public,0597239Y,Universite de Lille,Hauts de France,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Japonais","50.6291, 3.12636"
Public,0597239Y,Universite de Lille,Hauts de France,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours  Russe","50.6294, 3.12626"
Public,0597239Y,Universite de Lille,Hauts de France,Licence   Arts   Parcours Etudes en danse,"50.6277, 3.12622"
Public,0597239Y,Universite de Lille,Hauts de France,Licence   Arts   Parcours Etudes theatrales,"50.6277, 3.12717"
Public,0597239Y,Universite de Lille,Hauts de France,Licence   Histoire de l art et archeologie   Parcours Histoire l art et archeologie (sur site uniquement),"50.6276, 3.12511"
Public,0597239Y,Universite de Lille,Hauts de France,Licence   Sociologie   Parcours Sociologie  histoire,"50.629, 3.12595"
Public,0594365Z,IUT LITTORAL (DUNKERQUE),Hauts de France,BUT   Metiers de la Transition et de l Efficacite energetiques,"51.0378, 2.3709"
Public,0597267D,IUT de l Universite de Lille   site de Tourcoing,Hauts de France,BUT   Information communication Parcours communication des organisations,"50.72448, 3.16391"
Public,0597266C,IUT de l Universite de Lille   site de Roubaix,Hauts de France,BUT   Techniques de commercialisation,"50.69692, 3.16563"
Prive sous contrat d association,0595124Z,Institut d Hazebrouck,Hauts de France,"BTS   Agricole   Analyse, conduite et strategie de l entreprise agricole, option Territoires metropolitains","50.7219, 2.52967"
Public,0595616J,Lycee Du Noordover,Hauts de France,BTS   Services   Support à l action manageriale,"51.0093, 2.30152"
Prive sous contrat d association,0595657D,Institut Saint Vincent De Paul,Hauts de France,BTS   Services   Support à l action manageriale,"50.6178, 3.00467"
Public,0595786U,Lycee Jean Prouve,Hauts de France,BTS   Production   Enveloppe des batiments : conception et realisation,"50.6507, 2.99656"
Public,0595884A,Lycee Andre Lurcat,Hauts de France,BTS   Services   Support à l action manageriale,"50.2732, 3.9564"
Public,0624429C,EIL Cote d Opale,Hauts de France,Formation d ingenieur Bac + 5   Bac General et STI2D,"50.9526, 1.87993"
Public,0595964M,Universite du littoral   Site de Dunkerque,Hauts de France,Licence   Economie et gestion,"51.0392, 2.37202"
Public,0596183A,I.U.T. de Valenciennes   Site de Maubeuge,Hauts de France,BUT   Informatique,"50.27657, 3.98431"
Public,0600001A,Lycee Felix Faure,Hauts de France,BTS   Services   Support à l action manageriale,"49.4348, 2.08967"
Public,0600020W,Lycee Marie Curie,Hauts de France,BTS   Production   Forge,"49.2658, 2.4615"
Public,0600020W,Lycee Marie Curie,Hauts de France,BTS   Services   Biologie medicale,"49.2658, 2.4615"
Public,0600021X,Lycee Jules Uhry,Hauts de France,BTS   Services   Management Commercial Operationnel,"49.2574, 2.47414"
Public,0600021X,Lycee Jules Uhry,Hauts de France,BTS   Services   Comptabilite et gestion,"49.2574, 2.47414"
Prive sous contrat d association,0601149Y,Lycee Saint Vincent,Hauts de France,BTS   Services   Services informatiques aux organisations,"49.2033, 2.5888"
Public,0601863Z,Lycee CHARLES DE GAULLE,Hauts de France,BTS   Services   Tourisme,"49.4178, 2.82614"
Public,0601865B,Lycee CONDORCET,Hauts de France,BTS   Services   Gestion de la PME,"49.2376, 2.14318"
Public,0601895J,I.U.T de l Oise   Site de Creil,Hauts de France,BUT   Hygiene Securite Environnement,"49.2576, 2.46826"
Public,0601983E,I.U.T de l Oise   Site de Beauvais,Hauts de France,BUT   Gestion des entreprises et des administrations,"49.4306, 2.08936"
Public,0610018N,Lycee Les Andaines,Normandie,BTS   Services   Management Commercial Operationnel,"48.5861, -0.35896"
Public,0610021S,Lycee Jean Guehenno,Normandie,BTS   Production   Conception des processus de realisation de produits (1ere annee commune),"48.7455, -0.55283"
Public,0610021S,Lycee Jean Guehenno,Normandie,BTS   Services   Gestion de la PME,"48.7455, -0.55283"
Prive sous contrat d association,0610694Y,Lycee Jeanne D Arc (Argentan),Normandie,BTS   Services   Negociation et digitalisation de la Relation Client,"48.7464, -0.01438"
Prive sous contrat d association,0610698C,Lycee Saint Thomas D Aquin,Normandie,BTS   Services   Support à l action manageriale,"48.7535, -0.5719"
Public,0610790C,Lycee agricole Auguste Loutreuil,Normandie,BTS   Agricole   Gestion et protection de la nature,"48.5939, 0.17104"
Public,0611149T,IUT GRAND OUEST NORMANDIE   Pole d Alencon,Normandie,BUT   Carrieres sociales parcours villes et territoires durables,"48.44517, 0.05674"
Public,0624430D,GAMBETTA CARNOT,Hauts de France,BTS   Services   Professions immobilieres,"50.2877, 2.77435"
Public,0624430D,GAMBETTA CARNOT,Hauts de France,BTS   Services   Assurance,"50.2877, 2.77433"
Public,0624430D,GAMBETTA CARNOT,Hauts de France,BTS   Production   Electrotechnique,"50.2878, 2.7742"
Public,0620040G,Lycee Louis Blaringhem,Hauts de France,BTS   Services   Gestion de la PME,"50.5305, 2.64276"
Public,0753488J,INALCO,Ile de France,"Licence   Portail Langues, litteratures et civilisations etrangeres et regionales   Parcours Arabe litteral","48.8274, 2.37623"
Public,0150746E,I.U.T Clermont Auvergne   site d Aurillac,Auvergne Rhone Alpes,BUT   Genie biologique parcours sciences de l environnement et ecotechnologies,"44.9332, 2.4424"
Public,0150747F,Lycee de Mauriac,Auvergne Rhone Alpes,BTS   Production   Metiers de l eau,"45.2121, 2.33988"
Prive sous contrat d association,0560181T,Lycee St Joseph   LaSalle Lorient,Bretagne,"BTS   Production   Fluide, energie, domotique   option A genie climatique et fluidique   parcours Marine Nationale / Maistrance defense","47.749, -3.39277"
Prive sous contrat d association,0560181T,Lycee St Joseph   LaSalle Lorient,Bretagne,"BTS   Production   Fluide, energie, domotique   option B froid et conditionnement d air   parcours Marine Nationale / Maistrance defense","47.749, -3.39277"
Public,0781944P,Universite de Versailles   Saint Quentin en Yvelines,Ile de France,Licence   Parcours d Acces Specifique Sante (PASS),"48.7837, 2.03942"
Public,0080028M,Lycee professionnel Charles de Gonzague,Grand Est,BTS   Production   Batiment,"49.7491, 4.71333"
Public,0510062R,Lycee Francois 1er,Grand Est,BTS   Services   Tourisme,"48.7293, 4.59656"
Public,0313218E,Universite Toulouse III   Universite Toulouse,Occitanie,Licence   Parcours d Acces Specifique Sante (PASS),"43.5608, 1.46936"
Public,0450786K,Lycee professionnel Paul Gauguin,Centre,FCIL   Preparation aux concours de la securite publique et civile,"47.8367, 1.94185"
Public,0160020K,Lycee Jean Monnet,Nouvelle Aquitaine,BTS   Services   Management Commercial Operationnel,"45.7017, -0.31817"
Prive sous contrat d association,0160083D,Lycee Saint Joseph L Amandier,Nouvelle Aquitaine,BTS   Services   Management en hotellerie restauration,"45.69425, 0.1194"
Public,0160862A,Lycee professionnel Jean Albert Gregoire,Nouvelle Aquitaine,BTS   Services   Gestion des transports et logistique associee,"45.6299, 0.2178"
Public,0601870G,Lycee professionnel Andre Malraux,Hauts de France,Certificat de Specialisation   Animation gestion de projets dans le secteur sportif,"49.2608, 2.42532"
Public,0310056T,Lycee professionnel Gabriel Peri,Occitanie,BTS   Services   Negociation et digitalisation de la Relation Client,"43.6061, 1.45485"
Public,0161095D,Lycee Image et Son,Nouvelle Aquitaine,BTS   Services   Metiers de l audio visuel opt : metiers de l image,"45.6333, 0.15292"
Public,0810959C,Lycee La Borde Basse,Occitanie,BTS   Production   Bioanalyses en laboratoire de controle,"43.6255, 2.25965"
Public,0161095D,Lycee Image et Son,Nouvelle Aquitaine,BTS   Services   Metiers de l audio visuel opt : gestion de la production,"45.6333, 0.15292"
Public,0541668V,"Universite de Lorraine   Faculte de Droit, Sciences Economiques et Gestion   Site de Nancy (54)",Grand Est,Double licence   Economie / Philosophie   Economie   Philosophie,"48.69375, 6.1751"
Public,0161125L,I.U.T. Angoulême,Nouvelle Aquitaine,"BUT   Qualite, logistique industrielle et organisation","45.6476, 0.13658"
Public,0161125L,I.U.T. Angoulême,Nouvelle Aquitaine,BUT   Metiers du multimedia et de l internet,"45.6476, 0.13658"
Public,0170020E,Lycee Emile Combes,Nouvelle Aquitaine,BTS   Production   Travaux publics,"45.5794, -0.55253"
Prive enseignement superieur,0340994W,IDELCA Business School,Occitanie,BTS   Services   Comptabilite et gestion,"43.6567, 3.91005"
Prive enseignement superieur,0340994W,IDELCA Business School,Occitanie,BTS   Services   Professions immobilieres,"43.6567, 3.91005"
Public,0170022G,Lycee Maurice Merleau Ponty,Nouvelle Aquitaine,BTS   Services   Communication,"45.9507, -0.97137"
Public,0170051N,Lycee Louis Audouin Dubreuil,Nouvelle Aquitaine,BTS   Services   Management Commercial Operationnel,"45.9514, -0.52592"
Public,0753488J,INALCO,Ile de France,"Double licence   Langues, litteratures et civilisations etrangeres et regionales / Langues, litteratures et civilisations etrangeres et regionales   ARABE   HEBREU","48.8274, 2.37623"
Public,0170060Y,Lycee Bernard Palissy,Nouvelle Aquitaine,BTS   Production   Conception de produits industriels,"45.7355, -0.61499"
Public,0170135E,Lycee Jean Hyppolite,Nouvelle Aquitaine,BTS   Services   Dietetique et nutrition,"45.442, -0.43204"
Public,0170145R,I.U.T. La Rochelle,Nouvelle Aquitaine,BUT   Informatique,"46.142, -1.15109"
Public,0171428K,Lycee de la mer et du littoral,Nouvelle Aquitaine,BTS   Agricole   Aquaculture,"45.84438, -1.12582"
Public,0010016M,Lycee Joseph Marie Carriat,Auvergne Rhone Alpes,"FCIL   Administrateur reseau, infrastructure et systeme numerique","46.197, 5.22398"
Public,0171455P,Lycee Marcel Dassault,Nouvelle Aquitaine,BTS   Production   Europlastics et composites à referentiel commun europeen   option Pilotage et Optimisation de la production,"45.9474, -0.95889"
Public,0171463Y,La Rochelle Universite,Nouvelle Aquitaine,Licence   Langues etrangeres appliquees   Parcours Langues Etrangeres Appliquees (LEA) : anglais   espagnol   portugais,"46.1476, -1.15511"
Public,0383546Y,Universite Grenoble Alpes,Auvergne Rhone Alpes,Licence   Parcours d Acces Specifique Sante (PASS),"45.2019, 5.74529"
Public,0632084Y,Universite Clermont Auvergne,Auvergne Rhone Alpes,"Licence   Sciences de l education et de la formation   Parcours Enseignement, education et formation","45.771, 3.07321"
Public,9740478B,Universite de La Reunion   Saint Denis,Reunion,Licence   Portail Mathematiques,"-20.9017, 55.4852"
Public,0311514C,ecole d economie et de sciences sociales quantitatives   Toulouse School of Economics (TSE),Occitanie,Licence   Economie,"43.605, 1.435"
Public,0171428K,Lycee de la mer et du littoral,Nouvelle Aquitaine,BTS   Agricole   Gestion et protection de la nature,"45.8462, -1.15636"
Prive enseignement superieur,0801911T,Ingenieur UniLaSalle Amiens (ex ESIEE Amiens),Hauts de France,Formation d ingenieur Bac + 5   Bac STI2D,"49.89974, 2.29164"
Prive enseignement superieur,0721513D,EGC Le Mans,Pays de la Loire,Formation des ecoles de commerce et de management Bac + 3,"47.9813, 0.23365"
Prive enseignement superieur,0951820M,EBI,Ile de France,Formation Bac + 3,"49.0535, 2.03948"
Prive enseignement superieur,0941890U,ESIEA Paris,Ile de France,Formation Bac + 3,"48.8146, 2.37841"
Public,0755890V,Sorbonne universite,Ile de France,Double licence   LLCER / Sciences   LLCER : ALLEMAND NON DEBUTANT   SCIENCES,"48.85083, 2.34123"
Public,0830766G,Universite de Toulon,Provence Alpes Cote d Azur,Licence   Portail Droit   Licence de Droit   Campus Toulon Centre Ville,"43.12225, 5.9386"
Public,0710001R,Lycee Bonaparte,Bourgogne Franche Comte,FCIL   Restauration Meubles Anciens,"46.9382, 4.2943"
Public,0940608A,ecole nationale veterinaire d’Alfort,Ile de France,Formation Bac+6,"48.81336, 2.42311"
Public,0310153Y,ecole nationale veterinaire de Toulouse,Occitanie,Formation Bac+6,"43.5997, 1.38278"
Public,0860039A,Lycee professionnel Le Dolmen,Nouvelle Aquitaine,BTS   Services   Management operationnel de la securite,"46.5783, 0.36675"
Prive sous contrat d association,9741596S,Institut Regional de Formation En Ergotherapie,Reunion,D.E Ergotherapeute,"-20.8886, 55.44944"
Public,0130189K,"Centre de Ressources, d Expertise et de Performance Sportive PACA   site d Aix en Provence (CREPS)",Provence Alpes Cote d Azur,BPJEPS   Specialite Educateur sportif   Mention Activites de la forme,"43.5078, 5.44529"
Public,0180007K,Lycee Jacques Coeur,Centre,BTS   Services   Management Commercial Operationnel,"47.0719, 2.40989"
Prive enseignement superieur,0333479C,EFREI Bordeaux,Nouvelle Aquitaine,Formation d ingenieur Bac + 5   Bacs generaux   2 Sciences,"44.8, -0.53333"
Public,0180007K,Lycee Jacques Coeur,Centre,BTS   Services   Negociation et digitalisation de la Relation Client,"47.0719, 2.40989"
Public,0180007K,Lycee Jacques Coeur,Centre,BTS   Services   Economie sociale familiale,"47.0719, 2.40989"
Public,0632084Y,Universite Clermont Auvergne,Auvergne Rhone Alpes,Licence   Portail Sciences de la terre   Geologie Chimie,"45.7606, 3.11356"
Public,0632084Y,Universite Clermont Auvergne,Auvergne Rhone Alpes,Licence   Portail Mathematiques   Maths Biologie,"45.7606, 3.11352"
Public,0261372A,Universite Grenoble Alpes   Antenne de Valence,Auvergne Rhone Alpes,Licence   Portail Economie et gestion   Economie et Gestion   Valence,"44.9333, 4.90317"
Public,0383546Y,Universite Grenoble Alpes,Auvergne Rhone Alpes,Licence   Portail Musicologie   Musicologie   Grenoble,"45.192, 5.77413"
Public,0383546Y,Universite Grenoble Alpes,Auvergne Rhone Alpes,Licence   Portail Musicologie   Musicologie   Grenoble,"45.192, 5.77409"
Public,0333298F,Universite de Bordeaux   Bordeaux Metropole,Nouvelle Aquitaine,Licence   Portail Sciences et technologies,"44.8081, -0.59556"
Public,0333298F,Universite de Bordeaux   Bordeaux Metropole,Nouvelle Aquitaine,Licence   Portail Sciences et technologies,"44.8081, -0.59556"
Prive enseignement superieur,0590346F,SKEMA Business School   Campus de Lille,Hauts de France,Formation des ecoles de commerce et de management Bac + 3   ESDHEM Licence Economie Gestion,"50.6368, 3.07407"
Prive enseignement superieur,0590346F,SKEMA Business School   Campus de Lille,Hauts de France,Formation des ecoles de commerce et de management Bac + 3   ESDHEM Licence Droit,"50.6368, 3.07407"
Prive sous contrat d association,0641545G,Institut Agricole Secondaire Jean Errecart,Nouvelle Aquitaine,"BTS   Agricole   Analyses biologiques, biotechnologiques, agricoles et environnementales","43.3273, -1.02596"
Prive sous contrat d association,0333481E,YNCREA   BeGLES,Nouvelle Aquitaine,Formation d ingenieur Bac + 5   Bacs technologiques,"44.8, -0.53333"
Public,0134017W,Aix Marseille Universite   Site d Aix en Provence,Provence Alpes Cote d Azur,Double licence   Droit / Histoire de l art et archeologie  ,"43.51478, 5.44706"
Public,0342490X,Universite de Montpellier,Occitanie,Licence   Portail Licence   physique/chimie/sciences de l ingenieur (PCSI),"43.6158, 3.87189"
Public,0130040Y,Lycee Thiers,Provence Alpes Cote d Azur,CPGE   ECG      Mathematiques approfondies + HGG,"43.2968, 5.38259"
Prive sous contrat d association,0132828D,Lycee CADENELLE,Provence Alpes Cote d Azur,CPGE   ECG      Mathematiques appliquees + ESH,"43.3027, 5.45997"
Public,0800009A,Lycee Louis Thuillier,Hauts de France,CPGE   ECG,"49.8758, 2.29689"
Public,0330021U,Lycee Montaigne,Nouvelle Aquitaine,CPGE   ECG,"44.8335, -0.57306"
Prive sous contrat d association,0331503E,Lycee Sainte Marie Grand Lebrun,Nouvelle Aquitaine,CPGE   ECG,"44.8504, -0.60794"
Public,0770930T,Lycee Henri Moissan,Ile de France,CPGE   ECG      Mathematiques appliquees + ESH,"48.9589, 2.87488"
Public,9710003B,Lycee Baimbridge,Guadeloupe,CPGE   ECG      Mathematiques approfondies + HGG,"16.2711, -61.5253"
Prive sous contrat d association,0592940A,Lycee Saint Jean,Hauts de France,CPGE   ECG,"50.3693, 3.08633"
Prive sous contrat d association,0593114P,Lycee Saint Paul,Hauts de France,CPGE   ECG,"50.641, 3.05732"
Public,0870015U,Lycee Gay Lussac,Nouvelle Aquitaine,CPGE   ECG,"45.8308, 1.26263"
Public,0420041S,Lycee Claude Fauriel,Auvergne Rhone Alpes,CPGE   ECG,"45.438, 4.39398"
Prive sous contrat d association,0690519P,Lycee Notre Dame Des Minimes,Auvergne Rhone Alpes,CPGE   ECG,"45.7593, 4.78912"
Public,9720003W,Lycee Bellevue,Martinique,CPGE   ECG      Mathematiques appliquees + ESH,"14.6039, -61.0833"
Prive sous contrat d association,0340881Y,Lycee Notre Dame De La Merci,Occitanie,CPGE   ECG      Mathematiques appliquees + ESH,"43.6091, 3.86234"
Public,0190010H,Lycee Georges Cabanis,Nouvelle Aquitaine,BTS   Production   Conception des processus de realisation de produits (1ere annee commune),"45.1595, 1.52387"
Public,0720033V,Lycee Polyvalent Gabriel Touchard   Washington,Pays de la Loire,CPGE   ECG      Mathematiques approfondies + HGG,"47.9956, 0.2032"
Public,0142107P,Lycee Charles De Gaulle,Normandie,CPGE   ECG      Mathematiques approfondies + ESH,"49.1841, -0.37936"
Public,0140013N,Lycee Malherbe,Normandie,CPGE   ECG      Mathematiques appliquees + HGG,"49.1743, -0.37316"
Public,0500065Z,Lycee Le Verrier,Normandie,CPGE   ECG      Mathematiques appliquees + ESH,"49.1146, -1.08497"
Prive sous contrat d association,0141161L,Lycee Jeanne D Arc,Normandie,CPGE   ECG      Mathematiques appliquees + ESH,"49.18189, -0.39536"
Public,0190010H,Lycee Georges Cabanis,Nouvelle Aquitaine,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option B : Electronique et reseaux","45.1595, 1.52387"
Public,0760096S,Lycee Gustave Flaubert,Normandie,CPGE   ECG      Mathematiques appliquees + ESH,"49.4512, 1.12131"
Public,0620042J,Lycee Andre Malraux,Hauts de France,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option A : Informatique et reseaux","50.5206, 2.65294"
Public,0620042J,Lycee Andre Malraux,Hauts de France,BTS   Services   Communication,"50.5206, 2.65294"
