"Statut de l’etablissement de la filiere de formation (public, prive…)",Code UAI de l etablissement,etablissement,Region de l’etablissement,Filiere de formation,Coordonnées GPS de la formation
Public,0530081A,Lycee agricampus de Laval,Pays de la Loire,"BTS   Agricole   Analyse, conduite et strategie de l entreprise agricole, option Territoires metropolitains","48.0496, -0.79497"
Public,0530081A,Lycee agricampus de Laval,Pays de la Loire,"BTS   Agricole   QUalite, ALimentation, Innovation et Maitrise Sanitaire (BioQUALIM) aliments et processus technologiques","48.0496, -0.79497"
Prive sous contrat d association,0530818B,Lycee agricole ROCHEFEUILLE,Pays de la Loire,"BTS   Agricole   Analyse, conduite et strategie de l entreprise agricole, option Territoires metropolitains","48.3174, -0.62431"
Public,0530951W,I.U.T. Laval,Pays de la Loire,BUT   Genie biologique parcours biologie medicale et biotechnologie,"48.0856, -0.75795"
Public,0540041B,Lycee Georges de la Tour,Grand Est,BTS   Services   Assurance,"48.6917, 6.13816"
Public,0540044E,Lycee Arthur Varoquaux,Grand Est,BTS   Production   Metiers de la mesure,"48.6973, 6.21858"
Public,0540044E,Lycee Arthur Varoquaux,Grand Est,BTS   Production   Metiers de l eau,"48.6973, 6.21858"
Public,0541205S,I.U.T de Nancy Brabois   Universite de Lorraine,Grand Est,BUT   Genie civil   Construction durable,"48.6595, 6.1511"
Public,0760165S,INSA Rouen Normandie,Normandie,Formation d ingenieur Bac + 5   Bac General,"49.3859, 1.06838"
Public,0541205S,I.U.T de Nancy Brabois   Universite de Lorraine,Grand Est,BUT   Genie biologique parcours biologie medicale et biotechnologie,"48.6598, 6.1508"
Public,0541286E,Lycee Louis Bertrand,Grand Est,BTS   Services   Negociation et digitalisation de la Relation Client,"49.2485, 5.93668"
Public,0541324W,I.U.T Nancy Charlemagne   Universite de Lorraine,Grand Est,BUT   Techniques de commercialisation,"48.6832, 6.1618"
Public,0542485H,Universite de Lorraine   Faculte des Sciences et Technologies   site de Nancy (54),Grand Est,CUPGE   Classe Preparatoire Universitaire Mathematiques   Physique   Informatique,"48.66445, 6.15912"
Public,0542482E,Universite de Lorraine   IAE Nancy School of Management   Site de Nancy (54),Grand Est,Licence   Administration economique et sociale,"48.697, 6.17157"
Public,0541668V,"Universite de Lorraine   Faculte de Droit, Sciences Economiques et Gestion   Site de Nancy (54)",Grand Est,Licence   Droit   Parcours Droit langue anglaise : droit des pays de common law,"48.69372, 6.1754"
Public,0541660L,"Universite de Lorraine   Institut des sciences du Digital, Management et Cognition   Site de Nancy (54)",Grand Est,Licence   Portail Mathematiques et informatique appliquees aux sciences humaines et sociales,"48.69673, 6.17162"
Public,0541665S,"Universite de Lorraine   UFR Arts, Lettres et Langues   Site de Nancy (54)",Grand Est,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Arabe","48.69402, 6.16635"
Public,0541665S,"Universite de Lorraine   UFR Arts, Lettres et Langues   Site de Nancy (54)",Grand Est,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Anglais   Entierement en distanciel","48.69403, 6.16638"
Public,0541665S,"Universite de Lorraine   UFR Arts, Lettres et Langues   Site de Nancy (54)",Grand Est,Licence   Lettres   Parcours Lettres modernes,"48.66564, 6.16155"
Public,0542499Y,Universite de Lorraine   UFR Sciences Humaines et Sociales   Site de Nancy (54),Grand Est,Licence   Sociologie,"48.69446, 6.1663"
Public,0542208G,Lycee Stanislas (Biotec.Hotellerie),Grand Est,BTS   Services   Management en hotellerie restauration,"48.6637, 6.15293"
Public,0542262R,Lycee Emmanuel Here,Grand Est,BTS   Production   Batiment,"48.6831, 6.15133"
Public,0542262R,Lycee Emmanuel Here,Grand Est,"BTS   Production   Fluide, energie, domotique   option C domotique et batiment communicants","48.6831, 6.15133"
Public,0542293Z,Lycee Jacques Marie Boutet De Monvel,Grand Est,BTS   Production   Electrotechnique,"48.5987, 6.49251"
Public,0550025D,Lycee Jean Auguste Margueritte,Grand Est,BTS   Services   Services et prestations des secteurs sanitaire et social,"49.1562, 5.39033"
Prive sous contrat d association,0550049E,Lycee Sainte Anne,Grand Est,BTS   Services   Economie sociale familiale,"49.15933, 5.38017"
Public,0560016N,Lycee Broceliande,Bretagne,BTS   Services   Gestion de la PME,"47.9436, -2.13079"
Public,0560025Y,Lycee Dupuy De Lome,Bretagne,BTS   Services   Assurance,"47.7479, -3.37043"
Public,0560026Z,Lycee Jean Baptiste Colbert,Bretagne,BTS   Production   Conception de produits industriels,"47.7454, -3.38243"
Public,0560051B,Lycee Alain Rene Lesage,Bretagne,CPGE   MPSI,"47.6474, -2.7707"
Prive sous contrat d association,0560181T,Lycee St Joseph   LaSalle Lorient,Bretagne,"BTS   Production   Fluide, energie, domotique   option A genie climatique et fluidique","47.749, -3.39277"
