Année de la campagne de recueil des informations;Code UAI de l’établissement accrédité;Nom officiel (long) de l’établissement accrédité;Nom d’usage de l’établissement accrédité;Adresse de l’établissement accrédité;Complément d’adresse de l’établissement accrédité;Code postal de la ville de l’établissement accrédité;Ville de l’établissement accrédité;Identifiant navette de la mention (INM) de master;Domaine(s) de la mention de master;Intitulé de la mention de master;Mention accréditée ou en cours d’accréditation;Année de début de la période d’accréditation;Année de fin de la période d’accréditation;Mention ouverte ou non ouverte;Etablissement(s) co-accrédité(s) en vue de la délivrance du DNM dans la mention;Inscription des étudiants effectuée ou non par l’établissement dans la mention;Modalités d’enseignement de la mention;Semestre auquel la mention est accessible dans l’établissement accrédité;Existence d’une capacité d’accueil limitée au 1er semestre;Capacité d’accueil limitée au 1er semestre;Licences conseillées pour suivre la formation de la mention;URL de la fiche relative à la mention sur le site internet de l’établissement;etablissement_id_paysage
2020;0921204J;Université Paris-X;;200 avenue de la République;;92001;NANTERRE CEDEX;1402953Z;DROIT, ECONOMIE, GESTION;Finance;diplôme;2020;2024;1;;;Formation initiale,Formation à distance;1er semestre;Oui;75;;;g6rwB
2020;0921204J;Université Paris-X;;200 avenue de la République;;92001;NANTERRE CEDEX;1502428Z;Autre Domaine;Métiers de l'enseignement, de l'éducation et de la formation (MEEF), encadrement éducatif;diplôme;2021;2024;0;Université de Versailles Saint-Quentin-en-Yvelines,Université d'Evry-Val d'Essonne,Université Paris-XI,Université de Cergy-Pontoise;1;;1er semestre;Sans objet;;;;g6rwB
2020;0921204J;Université Paris-X;;200 avenue de la République;;92001;NANTERRE CEDEX;2000202V;DROIT, ECONOMIE, GESTION;Justice, procès et procédures;diplôme;2020;2021;1;;;Formation initiale,Formation continue;1er semestre;Oui;60;;;g6rwB
2020;0931238R;Université Paris-XIII;;AVENUE JEAN BAPTISTE CLEMENT;;93430;VILLETANEUSE;1405415M;DROIT, ECONOMIE, GESTION;Economie de l'entreprise et des marchés;diplôme;2019;2023;1;;;Formation initiale,Formation continue,Apprentissage;1er semestre;Oui;90;;;cqyN7
2020;0931827F;Université Paris-VIII;;2 rue de la Liberté;;93526;ST DENIS CEDEX;1501643W;DROIT, ECONOMIE, GESTION;Droit public;diplôme;2020;2024;1;;;Formation initiale,Formation continue;1er semestre;Oui;80;;;Uxr7Z
2020;0941111X;Université Paris-XII;;61 avenue du Général de Gaulle;;94010;CRETEIL CEDEX;1501639S;SCIENCES, TECHNOLOGIES, SANTÉ;Santé;diplôme;2020;2024;0;;;Formation initiale,Formation continue;3ème semestre;Sans objet;;;http://sante.u-pec.fr/formations/master-biologie-sante-sante/;vb71K
2020;0941111X;Université Paris-XII;;61 avenue du Général de Gaulle;;94010;CRETEIL CEDEX;1502050N;SCIENCES HUMAINES ET SOCIALES;Communication publique et politique;diplôme;2020;2024;1;;;Formation initiale,Formation continue,Alternance;1er semestre;Oui;30;;;vb71K
2020;0951793H;CY Cergy Paris Université;;33 boulevard DU PORT;;95011;CERGY PONTOISE CEDEX;1502274G;SCIENCES, TECHNOLOGIES, SANTÉ;Sciences de la Terre et des planètes, environnement;diplôme;2020;2024;1;;;Formation initiale,Formation continue;1er semestre;Oui;65;;;RS4WF
2020;7200664J;Université de Corse;;7 AVENUE J NICOLI;;20250;CORTE;1800426P;SCIENCES HUMAINES ET SOCIALES;Histoire;diplôme;2018;2022;1;;;Formation initiale;1er semestre;Oui;60;;;NLCOF
2020;9710585J;UNIVERSITE DES ANTILLES;;Campus de Fouillole;BP 250;97157;POINTE A PITRE CEDEX;1301255H;Autre Domaine;Métiers de l'enseignement, de l'éducation et de la formation (MEEF), pratiques et ingénierie de la formation (PIF);diplôme;2017;2021;1;;;Formation initiale;1er semestre;Oui;60;;;z3hdL
2020;9710585J;UNIVERSITE DES ANTILLES;;Campus de Fouillole;BP 250;97157;POINTE A PITRE CEDEX;1800997J;SCIENCES, TECHNOLOGIES, SANTÉ;Biodiversité, écologie et évolution;diplôme;2018;2022;1;;;Formation initiale;1er semestre;Oui;25;;;z3hdL
2020;9730429D;Université de la Guyane;;2092  ROUTE DE BADUEL;;97337;CAYENNE CEDEX;1701863B;SCIENCES HUMAINES ET SOCIALES | ARTS, LETTRES, LANGUES;Civilisations, cultures et sociétés;diplôme;2017;2021;1;;;Formation initiale;1er semestre;Oui;40;Langues, littératures et civilisations étrangères et régionales,Humanités,Sciences de l'Homme, anthropologie, ethnologie,Etudes culturelles,Sciences et Humanités;https://www.univ-guyane.fr/formation/nos-formations/formations-arts-lettres-langues-sciences-humaines-et-sociales/master-societes-et-interculturalite/;hy4EW
2020;9740478B;Université de La Réunion;;15 avenue René Cassin;;97744;ST DENIS CEDEX 9;2000007H;CULTURES, TERRITOIRES ET SOCIÉTÉS PLURIELLES DANS L'OCÉAN INDIEN;Anthropologie;diplôme;2020;2024;1;;;Formation initiale,Formation continue;1er semestre;Oui;35;;;cEt92
2020;9840349G;Université de la Polynésie française;;PUNAAUIA;;98704;PUNAAUIA;1703456H;DROIT, ECONOMIE, GESTION;Management et commerce international;diplôme;2017;2022;1;;;Formation initiale,Formation continue;1er semestre;Oui;40;;;zepT6
