Année de la campagne de recueil des informations;Code UAI de l’établissement accrédité;Nom officiel (long) de l’établissement accrédité;Nom d’usage de l’établissement accrédité;Adresse de l’établissement accrédité;Complément d’adresse de l’établissement accrédité;Code postal de la ville de l’établissement accrédité;Ville de l’établissement accrédité;Identifiant navette de la mention (INM) de master;Domaine(s) de la mention de master;Intitulé de la mention de master;Mention accréditée ou en cours d’accréditation;Année de début de la période d’accréditation;Année de fin de la période d’accréditation;Mention ouverte ou non ouverte;Etablissement(s) co-accrédité(s) en vue de la délivrance du DNM dans la mention;Inscription des étudiants effectuée ou non par l’établissement dans la mention;Modalités d’enseignement de la mention;Semestre auquel la mention est accessible dans l’établissement accrédité;Existence d’une capacité d’accueil limitée au 1er semestre;Capacité d’accueil limitée au 1er semestre;Licences conseillées pour suivre la formation de la mention;URL de la fiche relative à la mention sur le site internet de l’établissement;etablissement_id_paysage
2019;0062126D;COMUE Université Côte d'Azur;;28 avenue VALROSE;;06103;NICE;1800611Q;DROIT, ECONOMIE, GESTION;Contrôle de gestion et audit organisationnel;diplôme;2018;2022;1;;;Formation initiale,Alternance,Apprentissage;1er semestre;Oui;30;Administration économique et sociale,Economie et gestion;;RDy6Q
2019;0062126D;COMUE Université Côte d'Azur;;28 avenue VALROSE;;06103;NICE;1800571W;DROIT, ECONOMIE, GESTION;Droit privé;diplôme;2018;2022;1;;;Formation initiale,Formation continue;1er semestre;Oui;150;Droit;;RDy6Q
2019;0134009M;Université d'Aix-Marseille;;58  BOULEVARD CHARLES LIVON;;13284;MARSEILLE;1800833F;SCIENCES ET TECHNOLOGIES;Électronique, énergie électrique, automatique;diplôme;2018;2022;1;;;Formation initiale,Formation continue;1er semestre;Oui;55;Sciences pour l'ingénieur,Electronique, énergie électrique, automatique;;xJdyB
2019;0134009M;Université d'Aix-Marseille;;58  BOULEVARD CHARLES LIVON;;13284;MARSEILLE;1800818Q;SCIENCES ET TECHNOLOGIES;Instrumentation, mesure, métrologie;diplôme;2018;2022;1;;;Formation initiale,Formation continue,Apprentissage;1er semestre;Oui;60;Physique,Sciences pour l'ingénieur,Physique, chimie,Electronique, énergie électrique, automatique;;xJdyB
2019;0134009M;Université d'Aix-Marseille;;58  BOULEVARD CHARLES LIVON;;13284;MARSEILLE;1800828A;SCIENCES ET TECHNOLOGIES;Sciences de la mer;diplôme;2018;2022;1;;;Formation initiale,Formation continue;1er semestre;Oui;70;Chimie,Physique,Sciences de la Terre,Sciences de la vie,Sciences de la vie et de la Terre;;xJdyB
2019;0141408E;Université de Caen;;ESPLANADE DE LA PAIX;;14032;CAEN;1703388J;SCIENCES, TECHNOLOGIES, SANTÉ;Innovation, entreprise et société;diplôme;2017;2021;1;;;Formation initiale;1er semestre;Oui;14;;;p25Q3
2019;0141408E;Université de Caen;;ESPLANADE DE LA PAIX;;14032;CAEN;1701181K;DROIT, ECONOMIE, GESTION;Management de l'innovation;diplôme;2017;2021;1;;;Formation initiale;1er semestre;Oui;20;Economie,Gestion,Administration économique et sociale,Economie et gestion;;p25Q3
2019;0141408E;Université de Caen;;ESPLANADE DE LA PAIX;;14032;CAEN;1703408F;SCIENCES, TECHNOLOGIES, SANTÉ;Informatique;diplôme;2017;2021;1;;;Formation initiale;1er semestre;Oui;60;;;p25Q3
2019;0141408E;Université de Caen;;ESPLANADE DE LA PAIX;;14032;CAEN;1702261J;DROIT, ECONOMIE, GESTION;Droit du numérique;diplôme;2017;2021;1;;;Formation initiale;1er semestre;Non;;;;p25Q3
2019;0211237F;Université de Dijon;;Esplanade Erasme;BP 27877;21078;DIJON;1701337E;SCIENCES HUMAINES ET SOCIALES;Sciences sociales;diplôme;2017;2022;1;;;Formation initiale,Formation continue;1er semestre;Oui;30;;;Lr94O
2019;0290346U;Université de Brest;;3 RUE DES ARCHIVES;;29238;BREST;1701310A;SCIENCES HUMAINES ET SOCIALES;Tourisme;diplôme;2017;2021;1;;;Formation initiale,Formation continue;1er semestre;Oui;20;;;06SE7
2019;0301687W;Université de Nîmes;;RUE DU DOCTEUR GEORGES SALAN;;30021;NIMES;1302750H;Autre Domaine;Métiers de l'enseignement, de l'éducation et de la formation (MEEF), encadrement éducatif;diplôme;2017;2019;0;;;Formation initiale;1er semestre;Sans objet;;Toutes licences;;HAU8L
2019;0310152X;Institut national des sciences appliquées de Toulouse;;135  AVENUE DE RANGUEIL;;31077;TOULOUSE;1602047F;SCIENCES, TECHNOLOGIES, SANTÉ;Aéronautique et espace;diplôme;2016;2020;1;;;Formation initiale;1er semestre;Oui;24;;;dj88d
2019;0311381H;Institut national polytechnique de Toulouse;;6  ALLÉE EMILE MONSO;;31029;TOULOUSE;1602106V;SCIENCES, TECHNOLOGIES, SANTÉ;Chimie;diplôme;2016;2020;1;;;Formation initiale,Formation continue;3ème semestre;Sans objet;;;;mMex4
2019;0311381H;Institut national polytechnique de Toulouse;;6  ALLÉE EMILE MONSO;;31029;TOULOUSE;1602641B;SCIENCES, TECHNOLOGIES, SANTÉ;Sciences de l'océan, de l'atmosphère et du climat;diplôme;2016;2020;1;;;Formation initiale,Formation continue;3ème semestre;Sans objet;;;;mMex4
2019;0311382J;Université Toulouse-I;;2  RUE DU DOYEN GABRIEL MARTY;;31042;TOULOUSE;1602627L;SCIENCES, TECHNOLOGIES, SANTÉ;Éthique;diplôme;2016;2020;1;;;Formation initiale;1er semestre;Oui;9;;;542Id
2019;0311384L;Université Toulouse-III;;118  ROUTE DE NARBONNE;;31062;TOULOUSE;1602534K;SCIENCES HUMAINES ET SOCIALES;Information, communication;diplôme;2016;2020;1;;;Formation initiale,Formation continue,Alternance;3ème semestre;Sans objet;;;;m7K6T
2019;0333298F;Université de Bordeaux;;35  PLACE PEY BERLAND;;33000;BORDEAUX;1603091R;SCIENCES, TECHNOLOGIES, SANTÉ;Biochimie, biologie moléculaire;diplôme;2016;2020;1;;;Formation initiale,Formation continue;1er semestre;Oui;20;;;90I54
2019;0333298F;Université de Bordeaux;;35  PLACE PEY BERLAND;;33000;BORDEAUX;1602875F;SCIENCES, TECHNOLOGIES, SANTÉ;Biodiversité, écologie et évolution;diplôme;2016;2020;1;;;Formation initiale,Formation continue;1er semestre;Oui;40;Sciences de la Terre,Sciences de la vie et de la Terre;;90I54
2019;0333298F;Université de Bordeaux;;35  PLACE PEY BERLAND;;33000;BORDEAUX;1601877W;SCIENCES, TECHNOLOGIES, SANTÉ | DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE;Méthodes informatiques appliquées à la gestion des entreprises - miage;diplôme;2016;2020;1;;;Formation initiale;1er semestre;Oui;55;;;90I54
2019;0333298F;Université de Bordeaux;;35  PLACE PEY BERLAND;;33000;BORDEAUX;1601858A;SCIENCES HUMAINES ET SOCIALES;Anthropologie;diplôme;2016;2020;1;;;Formation initiale,Formation continue;1er semestre;Oui;60;Chimie,Sciences pour l'ingénieur,Sciences de la vie;;90I54
2019;0333298F;Université de Bordeaux;;35  PLACE PEY BERLAND;;33000;BORDEAUX;1602193P;Autre Domaine;Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 1er degré;diplôme;2016;2020;1;;;Formation initiale;1er semestre;Oui;600;;;90I54
2019;0341089Z;Université Montpellier-III;;ROUTE DE MENDE;;34199;MONTPELLIER;1502212P;SCIENCES HUMAINES ET SOCIALES;Humanités numériques;diplôme;2015;2020;1;;;Formation continue,Formation à distance;1er semestre;Oui;30;;;1I7hJ
2019;0341089Z;Université Montpellier-III;;ROUTE DE MENDE;;34199;MONTPELLIER;1502581R;SCIENCES HUMAINES ET SOCIALES;Ethnologie;diplôme;2015;2020;1;;;Formation initiale,Formation continue;1er semestre;Oui;30;;;1I7hJ
2019;0341089Z;Université Montpellier-III;;ROUTE DE MENDE;;34199;MONTPELLIER;1501339R;SCIENCES HUMAINES ET SOCIALES;Psychologie;diplôme;2015;2020;1;;;Formation initiale,Formation continue;1er semestre;Oui;72;;;1I7hJ
2019;0342222F;Institut national d'études supérieures agronomiques de Montpellier (Montpellier Sup Agro);;2  PLACE PIERRE VIALA;;34060;MONTPELLIER;1501316R;SCIENCES, TECHNOLOGIES, SANTÉ;Biodiversité, écologie et évolution;diplôme;2015;2020;1;;;Formation initiale,Formation continue;3ème semestre;Sans objet;;;;uv3yv
2019;0342321N;Université de Montpellier;;163  RUE AUGUSTE BROUSSONET;;34090;MONTPELLIER;1502621J;SCIENCES, TECHNOLOGIES, SANTÉ;Santé;diplôme;2015;2020;1;;;Formation initiale,Formation continue;1er semestre;Oui;25;Administration publique,Sciences sanitaires et sociales,Psychologie,Sociologie,Sciences de l'Homme, anthropologie, ethnologie,Sciences pour la santé;;7yd5d
2019;0342321N;Université de Montpellier;;163  RUE AUGUSTE BROUSSONET;;34090;MONTPELLIER;1501793J;SCIENCES, TECHNOLOGIES, SANTÉ;Innovation, entreprise et société;diplôme;2015;2020;1;;;Formation initiale,Formation continue;1er semestre;Oui;35;Lettres,Economie,Sciences de l'éducation,Sciences du langage,Langues étrangères appliquées,Langues, littératures et civilisations étrangères et régionales,Lettres, langues,Economie et gestion,Sciences et technologies;;7yd5d
2019;0342321N;Université de Montpellier;;163  RUE AUGUSTE BROUSSONET;;34090;MONTPELLIER;1501611L;SCIENCES, TECHNOLOGIES, SANTÉ;Sciences du médicament;diplôme;2015;2020;1;;;Formation initiale,Formation continue;1er semestre;Oui;56;Chimie,Sciences de la vie,Sciences pour la santé;;7yd5d
2019;0342321N;Université de Montpellier;;163  RUE AUGUSTE BROUSSONET;;34090;MONTPELLIER;1501654H;SCIENCES, TECHNOLOGIES, SANTÉ;Sciences et numérique pour la santé;diplôme;2015;2020;1;;;Formation initiale,Formation continue;1er semestre;Oui;60;Chimie,Informatique,Mathématiques,Physique,Sciences pour l'ingénieur,Electronique, énergie électrique, automatique,Sciences de la vie,Sciences pour la santé;;7yd5d
2019;0342321N;Université de Montpellier;;163  RUE AUGUSTE BROUSSONET;;34090;MONTPELLIER;1301191N;Autre Domaine;Métiers de l'enseignement, de l'éducation et de la formation (MEEF), pratiques et ingénierie de la formation (PIF);diplôme;2017;2019;1;;;Formation initiale;3ème semestre;Sans objet;;;;7yd5d
2019;0350077U;Ecole nationale supérieure de chimie de Rennes;;11  ALLÉE DE BEAULIEU;;35708;RENNES;1702585L;SCIENCES, TECHNOLOGIES, SANTÉ;Chimie;diplôme;2017;2021;1;;;Formation initiale;1er semestre;Oui;97;Chimie;;kFcnq
2019;0350936C;Université Rennes-I;;2  RUE DU THABOR;;35065;RENNES;1702151P;SCIENCES, TECHNOLOGIES, SANTÉ;Sciences de la terre et des planètes, environnement;diplôme;2017;2021;1;;;Formation initiale;1er semestre;Oui;26;;;9wAap
2019;0350936C;Université Rennes-I;;2  RUE DU THABOR;;35065;RENNES;1701558V;SCIENCES, TECHNOLOGIES, SANTÉ;Santé publique;diplôme;2017;2021;1;;;Formation initiale;1er semestre;Oui;34;;;9wAap
2019;0350936C;Université Rennes-I;;2  RUE DU THABOR;;35065;RENNES;1701210S;SCIENCES HUMAINES ET SOCIALES;Philosophie;diplôme;2017;2021;1;;;Formation initiale;1er semestre;Oui;50;;;9wAap
2019;0350936C;Université Rennes-I;;2  RUE DU THABOR;;35065;RENNES;1702506A;DROIT, ECONOMIE, GESTION;Économie et management publics;diplôme;2017;2021;1;;;Formation initiale;1er semestre;Oui;51;;;9wAap
2019;0350936C;Université Rennes-I;;2  RUE DU THABOR;;35065;RENNES;1301237N;Autre Domaine;Métiers de l'enseignement, de l'éducation et de la formation (MEEF), encadrement éducatif;diplôme;2017;2021;0;;;Formation initiale;1er semestre;Sans objet;;Mathématiques;;9wAap
2019;0370800U;Université de Tours;;60  RUE RUE DU PLAT D'ETAIN;;37000;TOURS;1800423K;SCIENCES HUMAINES ET SOCIALES;Histoire;diplôme;2018;2022;1;;;Formation initiale,Formation continue;1er semestre;Non;;;;cqkij
2019;0623957P;Université d'Artois;;9  RUE DU TEMPLE;;62030;ARRAS;1502463M;ARTS, LETTRES, LANGUES;Muséologie, muséo-expographie;diplôme;2015;2019;1;;;Formation initiale,Formation continue,Apprentissage;1er semestre;Oui;15;;;BWbvP
2019;0632035V;Université Clermont Auvergne;;49 BOULEVARD FRANCOIS MITTERRAND;;63113;CLERMONT FERRAND;1301993K;Autre Domaine;Métiers de l'enseignement, de l'éducation et de la formation (MEEF), encadrement éducatif;diplôme;2017;2020;1;;;Formation initiale;1er semestre;Oui;40;;;FvH4k
2019;0640251A;Université de Pau;;AVENUE DE L UNIVERSITE;;64012;PAU;1601194D;SCIENCES, TECHNOLOGIES, SANTÉ;Sciences et génie des matériaux;diplôme;2016;2020;1;;;Formation initiale,Formation continue,Alternance,Apprentissage;1er semestre;Oui;40;;;Mz286
2019;0660437S;Université de Perpignan;;52  AVENUE PAUL ALDUY;;66860;PERPIGNAN;1501236D;SCIENCES HUMAINES ET SOCIALES;Histoire, civilisations, patrimoine;diplôme;2015;2020;1;;;Formation initiale;1er semestre;Oui;35;Arts,Histoire de l'art et archéologie,Lettres,Histoire,Sciences du langage,Sociologie,Langues étrangères appliquées,Langues, littératures et civilisations étrangères et régionales,Lettres, langues,Géographie et aménagement,Humanités,Sciences sociales,Etudes culturelles,Etudes Européennes et Internationales;;n1W55
2019;0660437S;Université de Perpignan;;52  AVENUE PAUL ALDUY;;66860;PERPIGNAN;1502062B;DROIT, ECONOMIE, GESTION;Management sectoriel;diplôme;2015;2020;1;;;Formation initiale;1er semestre;Oui;170;Economie et gestion;;n1W55
2019;0670189S;Ecole nationale du génie de l'eau et de l'environnement de Strasbourg;;1 QUAI KOCH;;67070;STRASBOURG;1800698J;SCIENCES, TECHNOLOGIES, SANTÉ;Géomatique;diplôme;2018;2022;1;;;Formation initiale,Formation continue;3ème semestre;Sans objet;;;;YPOQX
2019;0673021V;Université de Strasbourg;;4  RUE BLAISE PASCAL;;67081;STRASBOURG;1800663W;SCIENCES, TECHNOLOGIES, SANTÉ;Génie industriel;diplôme;2018;2022;1;;;Formation initiale,Formation continue,Alternance,Apprentissage;1er semestre;Oui;80;;;4k25D
2019;0673021V;Université de Strasbourg;;4  RUE BLAISE PASCAL;;67081;STRASBOURG;1800707U;SCIENCES HUMAINES ET SOCIALES;Sociologie;diplôme;2018;2022;1;;;Formation initiale,Formation continue;1er semestre;Oui;110;;;4k25D
2019;0673021V;Université de Strasbourg;;4  RUE BLAISE PASCAL;;67081;STRASBOURG;1800643Z;DROIT, ECONOMIE, GESTION;Droit de l'environnement et de l'urbanisme;diplôme;2018;2022;1;;;Formation initiale,Formation continue;1er semestre;Non;;;;4k25D
2019;0690187D;Ecole centrale de Lyon;;36  AVENUE GUY DE COLLONGUE;;69134;ECULLY;1602444M;SCIENCES, TECHNOLOGIES, SANTÉ;Électronique, énergie électrique, automatique;diplôme;2016;2020;1;;;Formation initiale;3ème semestre;Sans objet;;;;fWJJA
2019;0690187D;Ecole centrale de Lyon;;36  AVENUE GUY DE COLLONGUE;;69134;ECULLY;1603284A;SCIENCES, TECHNOLOGIES, SANTÉ;Mathématiques appliquées, statistique;diplôme;2016;2020;1;;;Formation initiale;3ème semestre;Sans objet;;;;fWJJA
2019;0941111X;Université Paris-XII;;61  AVENUE DU GENERAL DE GAULLE;;94010;CRETEIL;1501902C;DROIT, ECONOMIE, GESTION;Gestion de production, logistique, achats;diplôme;2015;2019;1;;;Formation initiale,Formation continue,Alternance,Apprentissage;1er semestre;Oui;12;;;vb71K
2019;0941111X;Université Paris-XII;;61  AVENUE DU GENERAL DE GAULLE;;94010;CRETEIL;1503417Z;DROIT, ECONOMIE, GESTION;Droit fiscal;diplôme;2015;2019;1;;;Formation initiale;1er semestre;Non;;;;vb71K
2019;0941111X;Université Paris-XII;;61  AVENUE DU GENERAL DE GAULLE;;94010;CRETEIL;1900288P;SCIENCES HUMAINES ET SOCIALES;Staps : activité physique adaptée et santé;dossier;2019;;0;;;;;Sans objet;;;;vb71K
2019;0951793H;Université de Cergy-Pontoise;;33  BOULEVARD DU PORT;;95011;CERGY PONTOISE;1502428Z;Autre Domaine;Métiers de l'enseignement, de l'éducation et de la formation (MEEF), encadrement éducatif;diplôme;2015;2019;1;;;Formation initiale,Formation continue;1er semestre;Oui;30;;;W6CUQ
2019;9740478B;Université de La Réunion;;15  AVENUE RENE CASSIN;;97744;ST DENIS;1503304B;SCIENCES, TECHNOLOGIES, SANTÉ;Ville et environnements urbains;diplôme;2015;2019;1;;;Formation initiale;1er semestre;Oui;25;Génie civil;;cEt92
2019;0311382J;Université Toulouse-I;;2  RUE DU DOYEN GABRIEL MARTY;;31042;TOULOUSE;1601857Z;DROIT, ECONOMIE, GESTION;Management;diplôme;2016;2020;1;;;Formation initiale,Formation continue,Formation à distance,Alternance;1er semestre;Oui;130;;;542Id
2019;0333298F;Université de Bordeaux;;35  PLACE PEY BERLAND;;33000;BORDEAUX;1601707L;SCIENCES, TECHNOLOGIES, SANTÉ;Ingénierie des systèmes complexes;diplôme;2016;2020;1;;;Formation initiale,Formation continue;1er semestre;Oui;78;;;90I54
2019;0333298F;Université de Bordeaux;;35  PLACE PEY BERLAND;;33000;BORDEAUX;1602565U;DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE;Droit des affaires;diplôme;2016;2020;1;;;Formation initiale,Formation continue;1er semestre;Non;;;;90I54
2019;0342321N;Université de Montpellier;;163  RUE AUGUSTE BROUSSONET;;34090;MONTPELLIER;1501140Z;DROIT, ECONOMIE, GESTION;Management et administration des entreprises;diplôme;2015;2020;1;;;Formation initiale,Formation continue;1er semestre;Oui;2;Administration publique,Droit,Economie,Gestion,Science politique,Sciences sanitaires et sociales,Psychologie,Sociologie,Chimie,Informatique,Mathématiques,Mécanique,Physique,Sciences pour l'ingénieur,Physique, chimie,Administration économique et sociale,Economie et gestion,Humanités,Electronique, énergie électrique, automatique,Génie civil,Mathématiques et informatique appliquées aux sciences humaines et sociales,Sciences de la Terre,Sciences de la vie,Sciences de la vie et de la Terre,Sciences et techniques des activités physiques et sportives,Sciences et technologies,Sciences pour la santé;;7yd5d
2019;0342321N;Université de Montpellier;;163  RUE AUGUSTE BROUSSONET;;34090;MONTPELLIER;1501316R;SCIENCES, TECHNOLOGIES, SANTÉ;Biodiversité, écologie et évolution;diplôme;2015;2020;1;;;Formation initiale,Formation continue;1er semestre;Oui;177;Sciences pour l'ingénieur,Mathématiques et informatique appliquées aux sciences humaines et sociales,Sciences de la vie,Sciences de la vie et de la Terre;;7yd5d
2019;0350936C;Université Rennes-I;;2  RUE DU THABOR;;35065;RENNES;1701331Y;SCIENCES, TECHNOLOGIES, SANTÉ;Mécanique;diplôme;2017;2021;1;;;Formation initiale;1er semestre;Oui;44;;;9wAap
2019;0350936C;Université Rennes-I;;2  RUE DU THABOR;;35065;RENNES;1703078X;SCIENCES, TECHNOLOGIES, SANTÉ;Biologie-santé;diplôme;2017;2021;1;;;Formation initiale;1er semestre;Oui;44;;;9wAap
2019;0350936C;Université Rennes-I;;2  RUE DU THABOR;;35065;RENNES;1303187H;Autre Domaine;Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 2nd degré;diplôme;2017;2021;1;;;Formation initiale;1er semestre;Oui;150;;;9wAap
2019;0350937D;Université Rennes-II;;PLACE DU RECTEUR LE MOAL;;35043;RENNES;1703186P;SCIENCES HUMAINES ET SOCIALES;Psychologie de l'éducation et de la formation;diplôme;2017;2021;1;;;Formation initiale,Formation continue;1er semestre;Oui;20;;;ti37C
2019;0370800U;Université de Tours;;60  RUE RUE DU PLAT D'ETAIN;;37000;TOURS;1801078X;DROIT, ECONOMIE, GESTION;Finance;diplôme;2018;2022;1;;;Formation initiale,Formation continue,Apprentissage;1er semestre;Oui;30;;;cqkij
2019;0370800U;Université de Tours;;60  RUE RUE DU PLAT D'ETAIN;;37000;TOURS;1801089J;DROIT, ECONOMIE, GESTION;Gestion des ressources humaines;diplôme;2018;2022;1;;;Formation initiale,Formation continue,Apprentissage;1er semestre;Oui;36;;;cqkij
2019;0383493R;Université Grenoble Alpes;;621  AVENUE CENTRALE;;38040;GRENOBLE;1602389C;SCIENCES, TECHNOLOGIES, SANTÉ;Physique;diplôme;2016;2020;1;;;Formation initiale,Formation continue;1er semestre;Oui;60;;;F2yh2
2019;0383493R;Université Grenoble Alpes;;621  AVENUE CENTRALE;;38040;GRENOBLE;1601797J;DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE;Droit européen;diplôme;2016;2020;1;;;Formation initiale,Formation continue;1er semestre;Non;;;;F2yh2
2019;0420093Y;Ecole nationale d'ingénieurs de Saint-Etienne;;58  RUE JEAN PAROT;;42023;ST ETIENNE;1602844X;SCIENCES, TECHNOLOGIES, SANTÉ;Mécanique;diplôme;2016;2020;1;;;Formation initiale;3ème semestre;Sans objet;;;;7s7yT
2019;0440984F;Université de Nantes;;2  QUAI DE TOURVILLE;;44036;NANTES;1702518N;SCIENCES, TECHNOLOGIES, SANTÉ;Électronique, énergie électrique, automatique;diplôme;2017;2021;1;;;Formation initiale,Formation continue,Alternance,Hybride;1er semestre;Oui;28;;;7hB8r
2019;0440984F;Université de Nantes;;2  QUAI DE TOURVILLE;;44036;NANTES;1702466G;ARTS, LETTRES, LANGUES;Philosophie;diplôme;2017;2021;1;;;Formation initiale,Formation continue;1er semestre;Oui;70;;;7hB8r
2019;0440984F;Université de Nantes;;2  QUAI DE TOURVILLE;;44036;NANTES;1702555D;SCIENCES, TECHNOLOGIES, SANTÉ;Informatique;diplôme;2017;2021;1;;;Formation initiale,Formation continue,Alternance,Hybride;1er semestre;Oui;81;;;7hB8r
2019;0442674T;Ecole nationale vétérinaire, agroalimentaire et de l'alimentation Nantes-Atlantique (ONIRIS);;RUE DE LA GÉRAUDIÈRE;;44322;NANTES;1702945C;SCIENCES, TECHNOLOGIES, SANTÉ;Nutrition et sciences des aliments;diplôme;2017;2021;1;;;Formation initiale;1er semestre;Oui;20;;;b2TCC
2019;0490970N;Université d'Angers;;40  RUE DE RENNES;;49035;ANGERS;1703466U;Autre Domaine;Métiers de l'enseignement, de l'éducation et de la formation (MEEF), pratiques et ingénierie de la formation (PIF);diplôme;2017;2021;0;;;Formation initiale;1er semestre;Oui;15;;;IXHyv
2019;0490970N;Université d'Angers;;40  RUE DE RENNES;;49035;ANGERS;1702703P;SCIENCES HUMAINES ET SOCIALES;Géographie, aménagement, environnement et développement;diplôme;2017;2021;1;;;Formation initiale,Formation continue;1er semestre;Oui;50;;;IXHyv
2019;0490970N;Université d'Angers;;40  RUE DE RENNES;;49035;ANGERS;1702001B;DROIT, ECONOMIE, GESTION;Droit privé;diplôme;2017;2021;1;;;Formation initiale,Formation continue;1er semestre;Non;;;;IXHyv
2019;0511296G;Université de Reims;;9  BOULEVARD DE LA PAIX;;51097;REIMS;1800313R;SCIENCES, TECHNOLOGIES, SANTÉ;Calcul haute performance, simulation;diplôme;2018;2022;1;;;Formation initiale,Formation continue;1er semestre;Oui;16;Informatique;;57OsX
2019;0511296G;Université de Reims;;9  BOULEVARD DE LA PAIX;;51097;REIMS;1801136K;Autre Domaine;Sciences de la vigne et du vin;diplôme;2018;2022;1;;;Formation initiale,Formation continue;1er semestre;Oui;41;;;57OsX
2019;0511296G;Université de Reims;;9  BOULEVARD DE LA PAIX;;51097;REIMS;1801039E;DROIT, ECONOMIE, GESTION;Management et commerce international;diplôme;2018;2022;0;;;Formation initiale,Formation continue,Formation à distance;1er semestre;Sans objet;;;;57OsX
2019;0542493S;Université de Lorraine;;34  COURS LEOPOLD;;54052;NANCY;1800175R;SCIENCES HUMAINES ET SOCIALES;Sciences sociales;diplôme;2018;2022;1;;;Formation initiale,Formation continue;1er semestre;Oui;54;Sociologie,Humanités,Sciences de l'Homme, anthropologie, ethnologie;;t6Cq5
2019;0542493S;Université de Lorraine;;34  COURS LEOPOLD;;54052;NANCY;1800929K;DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE;Management sectoriel;diplôme;2018;2022;1;;;Formation initiale,Formation continue,Apprentissage;1er semestre;Oui;196;Droit,Gestion,Langues étrangères appliquées,Administration économique et sociale,Génie civil;;t6Cq5
2019;0542493S;Université de Lorraine;;34  COURS LEOPOLD;;54052;NANCY;1301440J;Autre Domaine;Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 2nd degré;diplôme;2018;2023;1;;;Formation initiale,Formation continue;1er semestre;Oui;800;;;t6Cq5
2019;0542493S;Université de Lorraine;;34  COURS LEOPOLD;;54052;NANCY;1800150P;DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE;Droit fiscal;diplôme;2018;2022;1;;;Formation initiale,Formation continue;1er semestre;Non;;;;t6Cq5
2019;0561718N;Université de Bretagne Sud;;27  RUE ARMAND GUILLEMOT;;56321;LORIENT;1702171L;DROIT, ECONOMIE, GESTION;Marketing, vente;diplôme;2017;2021;1;;;Alternance;1er semestre;Oui;25;Economie,Gestion,Administration économique et sociale,Economie et gestion;;5tVy4
2019;0561718N;Université de Bretagne Sud;;27  RUE ARMAND GUILLEMOT;;56321;LORIENT;1701146X;SCIENCES HUMAINES ET SOCIALES;Sciences du langage;diplôme;2017;2021;1;;;Formation à distance;1er semestre;Non;;;;5tVy4
2019;0590349J;Ecole centrale de Lille;;CÎTE SCIENTIFIQUE;;59651;VILLENEUVE D ASCQ;1503306D;SCIENCES, TECHNOLOGIES, SANTÉ;Automatique, robotique;diplôme;2015;2019;1;;;Formation initiale;1er semestre;Oui;12;;;54VTe
2019;0593279U;Université Polytechnique Hauts-de-France;;Campus Mont Houy;;59300;AULNOY LEZ VALENCIENNES;1501955K;DROIT, ECONOMIE, GESTION;Comptabilité - contrôle - audit;diplôme;2015;2019;1;;;Formation initiale,Formation continue,Alternance,Apprentissage;1er semestre;Oui;45;;;SuUZ2
2019;0593279U;Université Polytechnique Hauts-de-France;;Campus Mont Houy;;59300;AULNOY LEZ VALENCIENNES;1502394M;DROIT, ECONOMIE, GESTION;Droit de l'immobilier;diplôme;2015;2019;1;;;Formation initiale,Formation continue;1er semestre;Oui;50;;;SuUZ2
2019;0593279U;Université Polytechnique Hauts-de-France;;Campus Mont Houy;;59300;AULNOY LEZ VALENCIENNES;1502107A;SCIENCES HUMAINES ET SOCIALES | ARTS, LETTRES, LANGUES;Études culturelles;diplôme;2015;2019;1;;;Formation initiale,Formation continue;1er semestre;Oui;90;;;SuUZ2
2019;0593279U;Université Polytechnique Hauts-de-France;;Campus Mont Houy;;59300;AULNOY LEZ VALENCIENNES;1503085N;Autre Domaine;Métiers de l'enseignement, de l'éducation et de la formation (MEEF), encadrement éducatif;diplôme;2015;2019;0;;;Formation initiale;1er semestre;Non;;;;SuUZ2
2019;0595964M;Université du littoral côte d'opale;;1 PLACE DE L'YSER;;59375;DUNKERQUE;1502148V;SCIENCES, TECHNOLOGIES, SANTÉ;Physique;diplôme;2015;2019;0;;;Formation initiale,Formation continue;1er semestre;Oui;10;;;yH19Y
2019;0595964M;Université du littoral côte d'opale;;1 PLACE DE L'YSER;;59375;DUNKERQUE;1502794X;Autre Domaine;Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 2nd degré;diplôme;2015;2019;1;;;Formation initiale;1er semestre;Oui;280;;;yH19Y
2019;0596870X;"COMUE ""Lille Nord de France""";;365 BIS RUE JULES GUESDE;;59658;VILLENEUVE D ASCQ;1503085N;Autre Domaine;Métiers de l'enseignement, de l'éducation et de la formation (MEEF), encadrement éducatif;diplôme;2015;2019;1;;;Formation initiale;1er semestre;Oui;60;Toutes licences;;IZ3tY
2019;0597065J;Université de Lille;;42  RUE PAUL DUEZ;;59800;LILLE;1503213C;DROIT, ECONOMIE, GESTION;Monnaie, banque, finance, assurance;diplôme;2015;2019;1;;;Formation initiale,Formation continue;1er semestre;Oui;20;;;Szqy5
